layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,2.047856600104937,11.0,1.0910536866452616,AtlasNet,seed_0,init_uniform0.02,a+pcs_NA
c2,2.0478567320008905,11.0,1.0910536129275987,AtlasNet,seed_0,init_uniform0.05,a+pcs_NA
c2,2.0478567320008905,11.0,1.09105363138066,AtlasNet,seed_0,init_uniform0.1,a+pcs_NA
c2,2.0478567320008905,11.0,1.0910536274465432,AtlasNet,seed_0,init_uniform0.2,a+pcs_NA
c2,2.0478573156510342,11.0,1.0910536029021431,AtlasNet,seed_0,init_uniform0.3,a+pcs_NA
c2,2.0961197991242195,15.0,1.0815879568127276,AtlasNet,seed_0,init_normal0.01,a+pcs_NA
c2,2.0961197486312306,15.0,1.0815880099081232,AtlasNet,seed_0,init_normal0.025,a+pcs_NA
c2,2.0961197486312306,15.0,1.0815879710247516,AtlasNet,seed_0,init_normal0.05,a+pcs_NA
c2,2.0961197486312306,15.0,1.0815879902568049,AtlasNet,seed_0,init_normal0.1,a+pcs_NA
c2,2.0961199842764184,15.0,1.081587899983287,AtlasNet,seed_0,init_normal0.15,a+pcs_NA
