layer,score,score_error,architecture,task,kind,source
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform0.02,a+pcs_1000
c2,0.1888364672781411,0.0042396056391581834,AtlasNet,seed_0,init_uniform0.05,a+pcs_1000
c2,0.1888364672781411,0.004239605639158153,AtlasNet,seed_0,init_uniform0.1,a+pcs_1000
c2,0.18883646727814105,0.004239605639158146,AtlasNet,seed_0,init_uniform0.2,a+pcs_1000
c2,0.18883615011399862,0.0042395590963778505,AtlasNet,seed_0,init_uniform0.3,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal0.01,a+pcs_1000
c2,0.1899334166565297,0.004231664623139705,AtlasNet,seed_0,init_normal0.025,a+pcs_1000
c2,0.1899334166565297,0.004231664623139688,AtlasNet,seed_0,init_normal0.05,a+pcs_1000
c2,0.18993341665652982,0.004231664623139674,AtlasNet,seed_0,init_normal0.1,a+pcs_1000
c2,0.1899333003627234,0.0042318453940750145,AtlasNet,seed_0,init_normal0.15,a+pcs_1000
