layer,score,score_error,architecture,task,kind,source
c2,0.18883563132799602,0.004239599653228141,AtlasNet,seed_0,init_kai_uniform,a+pcs_1000
c2,0.18993278192246488,0.004231899306386127,AtlasNet,seed_0,init_kai_normal,a+pcs_1000
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.1888367426919712,0.00423969784959322,AtlasNet,seed_0,init_uniform,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.18993339020383587,0.004231540843977224,AtlasNet,seed_0,init_normal,a+pcs_1000
c2,0.18906061421987536,0.004223889333771682,AtlasNet,seed_0,init_orthogonal,a+pcs_1000
c2,0.1888358857368501,0.0042396794969874795,AtlasNet,seed_0,init_standard,a+pcs_1000
