layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,14.360123225548719,112.0,1.1384577470458113,ResNet18,N_0.025,Untrained,PyTorch
layer1.1.relu,15.016200050535934,114.0,1.136593477214202,ResNet18,N_0.025,Untrained,PyTorch
layer2.0.relu,17.5473480178355,138.0,1.1102708931697165,ResNet18,N_0.025,Untrained,PyTorch
layer2.1.relu,16.776887702825164,134.0,1.1155292222274518,ResNet18,N_0.025,Untrained,PyTorch
layer3.0.relu,17.020500559562798,157.0,1.1037016337175383,ResNet18,N_0.025,Untrained,PyTorch
layer3.1.relu,15.466877008288614,146.0,1.1217211167456318,ResNet18,N_0.025,Untrained,PyTorch
layer4.0.relu,11.355776901573211,154.0,1.1126209586958655,ResNet18,N_0.025,Untrained,PyTorch
layer4.1.relu,8.653316856833344,147.0,1.1170182125617198,ResNet18,N_0.025,Untrained,PyTorch
layer1.0.relu,24.136421153312934,191.0,1.0514887934610035,ResNet50,N_0.025,Untrained,PyTorch
layer1.1.relu,24.108151994688647,191.0,1.0521426882436498,ResNet50,N_0.025,Untrained,PyTorch
layer1.2.relu,24.108574153094967,191.0,1.0521921734437683,ResNet50,N_0.025,Untrained,PyTorch
layer2.0.relu,21.987448089904518,194.0,1.052703470049694,ResNet50,N_0.025,Untrained,PyTorch
layer2.1.relu,22.07734806430845,194.0,1.053015228181266,ResNet50,N_0.025,Untrained,PyTorch
layer2.2.relu,21.961779538775293,193.0,1.05420075491468,ResNet50,N_0.025,Untrained,PyTorch
layer2.3.relu,21.845335070480314,191.0,1.055693083351801,ResNet50,N_0.025,Untrained,PyTorch
layer3.0.relu,22.931502504718313,173.0,1.0697652134404327,ResNet50,N_0.025,Untrained,PyTorch
layer3.1.relu,22.939839864636742,172.0,1.07125588785935,ResNet50,N_0.025,Untrained,PyTorch
layer3.2.relu,22.43495617579162,170.0,1.0741327231351716,ResNet50,N_0.025,Untrained,PyTorch
layer3.3.relu,22.279132316187056,168.0,1.0763758209758725,ResNet50,N_0.025,Untrained,PyTorch
layer3.4.relu,22.21974352321558,167.0,1.0781473482893318,ResNet50,N_0.025,Untrained,PyTorch
layer3.5.relu,22.142820488708324,167.0,1.0780162468409185,ResNet50,N_0.025,Untrained,PyTorch
layer4.0.relu,19.547272657630607,115.0,1.1195486872320448,ResNet50,N_0.025,Untrained,PyTorch
layer4.1.relu,17.134691098090975,110.0,1.1253492558266591,ResNet50,N_0.025,Untrained,PyTorch
layer4.2.relu,15.827223470269525,107.0,1.1282607638031963,ResNet50,N_0.025,Untrained,PyTorch
features.1,17.700277796014976,160.0,1.0843298919751423,AlexNet,N_0.025,Untrained,PyTorch
features.4,26.59486869765997,184.0,1.0575588481321634,AlexNet,N_0.025,Untrained,PyTorch
features.7,24.05826156842808,119.0,1.1298090559922458,AlexNet,N_0.025,Untrained,PyTorch
features.9,24.203095197113633,141.0,1.1115560736552157,AlexNet,N_0.025,Untrained,PyTorch
features.11,17.892074890806963,134.0,1.1227650736817343,AlexNet,N_0.025,Untrained,PyTorch
trunk_output.block1.block1-0.activation,17.390083707929364,174.0,1.0710351857647595,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block2.block2-0.activation,20.00285007363442,162.0,1.0885747772705319,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block2.block2-1.activation,19.97712497482611,162.0,1.0888897696922957,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-0.activation,19.44148986112696,112.0,1.1679831701563201,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-1.activation,19.406924065819858,112.0,1.1683057675111992,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-2.activation,19.36323880041379,112.0,1.1687942668307625,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-3.activation,19.32904387280916,111.0,1.1690420291946664,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-4.activation,19.2751902883965,111.0,1.1693909446246111,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-5.activation,19.2862678463561,111.0,1.1695247128889084,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-6.activation,19.299151549366734,111.0,1.1695033539469557,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-0.activation,17.739484564383357,45.0,1.3772598099418711,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-1.activation,17.674527142521036,45.0,1.378436632238859,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-2.activation,17.618652261343406,45.0,1.379010221733116,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-3.activation,17.650076302636037,45.0,1.379552804066615,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-4.activation,17.641305749386706,44.0,1.3799647667132902,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-5.activation,17.665121401247166,45.0,1.3799596049188583,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-6.activation,17.723348176987134,45.0,1.3796358609077126,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-7.activation,17.68768583887538,44.0,1.3797356429185677,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-8.activation,17.667454441244217,44.0,1.3798245443709636,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-9.activation,17.533285787358164,44.0,1.3806958532664049,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-10.activation,17.559336632828334,44.0,1.3804076802082896,RegNet_400mf,N_0.025,Untrained,PyTorch
