layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.20392427725293383,0.004184347582127324,ResNet18,N_0.025,Untrained,PyTorch
layer1.1.relu,0.20601867114421615,0.004551422651444789,ResNet18,N_0.025,Untrained,PyTorch
layer2.0.relu,0.20815325314264413,0.004335199060642861,ResNet18,N_0.025,Untrained,PyTorch
layer2.1.relu,0.20819275799549855,0.004848966570195092,ResNet18,N_0.025,Untrained,PyTorch
layer3.0.relu,0.2157188247860182,0.004407046962754924,ResNet18,N_0.025,Untrained,PyTorch
layer3.1.relu,0.21506075173169684,0.0043871325695404376,ResNet18,N_0.025,Untrained,PyTorch
layer4.0.relu,0.2119283892076773,0.004865614847951979,ResNet18,N_0.025,Untrained,PyTorch
layer4.1.relu,0.21229410070294283,0.005763280530475021,ResNet18,N_0.025,Untrained,PyTorch
layer1.0.relu,0.21215226993614078,0.004554440429400761,ResNet50,N_0.025,Untrained,PyTorch
layer1.1.relu,0.21155328443068772,0.004536501257034004,ResNet50,N_0.025,Untrained,PyTorch
layer1.2.relu,0.21126700133334617,0.004544515955522276,ResNet50,N_0.025,Untrained,PyTorch
layer2.0.relu,0.21461420844191645,0.005204979007067206,ResNet50,N_0.025,Untrained,PyTorch
layer2.1.relu,0.21547283564250386,0.004953422268096602,ResNet50,N_0.025,Untrained,PyTorch
layer2.2.relu,0.21549945198032888,0.004822995685314312,ResNet50,N_0.025,Untrained,PyTorch
layer2.3.relu,0.21636386718425388,0.0045222526276305535,ResNet50,N_0.025,Untrained,PyTorch
layer3.0.relu,0.20301589115831922,0.004143823484433333,ResNet50,N_0.025,Untrained,PyTorch
layer3.1.relu,0.20286546558864307,0.004167124636074427,ResNet50,N_0.025,Untrained,PyTorch
layer3.2.relu,0.20315441105034687,0.004114034431032759,ResNet50,N_0.025,Untrained,PyTorch
layer3.3.relu,0.20285840797990862,0.0039929016885460415,ResNet50,N_0.025,Untrained,PyTorch
layer3.4.relu,0.20372204126373727,0.0040309581785926574,ResNet50,N_0.025,Untrained,PyTorch
layer3.5.relu,0.20437742578849677,0.00402285394653282,ResNet50,N_0.025,Untrained,PyTorch
layer4.0.relu,0.18805596572039404,0.0031800272859905197,ResNet50,N_0.025,Untrained,PyTorch
layer4.1.relu,0.19106029538726607,0.002929982084700989,ResNet50,N_0.025,Untrained,PyTorch
layer4.2.relu,0.1918949288956762,0.0030929087851641747,ResNet50,N_0.025,Untrained,PyTorch
features.1,0.16074009558738533,0.004536861457345093,AlexNet,N_0.025,Untrained,PyTorch
features.4,0.23786279412241465,0.0035600938159873834,AlexNet,N_0.025,Untrained,PyTorch
features.7,0.27860912847333136,0.003078103830226837,AlexNet,N_0.025,Untrained,PyTorch
features.9,0.27097113319423005,0.003770629410992047,AlexNet,N_0.025,Untrained,PyTorch
features.11,0.26940769543472387,0.004082221594946291,AlexNet,N_0.025,Untrained,PyTorch
trunk_output.block1.block1-0.activation,0.12888513373231186,0.003128339186337917,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block2.block2-0.activation,0.1283114471770594,0.004816495869450606,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block2.block2-1.activation,0.12827462775776252,0.004792728882286806,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-0.activation,0.12168327788807409,0.003255618825951802,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-1.activation,0.12166828058073176,0.0032397396723965782,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-2.activation,0.12183189153249743,0.0032195664935930073,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-3.activation,0.12171394265402771,0.0032006275798271587,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-4.activation,0.12139329448894397,0.003140404680957675,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-5.activation,0.1216143067156999,0.0032013357989094673,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block3.block3-6.activation,0.12163801080959355,0.0032097149672717594,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-0.activation,0.08740199933919622,0.002970482864487519,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-1.activation,0.08736023219541474,0.0030882402114198342,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-2.activation,0.08668349347475175,0.0032547977144596787,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-3.activation,0.08670860457990606,0.0032774097024814135,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-4.activation,0.08742556739008712,0.0034199525015509028,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-5.activation,0.08709029089334817,0.003518124699490823,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-6.activation,0.08713067457749533,0.0036055410470294943,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-7.activation,0.0878892427518529,0.0032911845363947545,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-8.activation,0.08752615696624988,0.003127312973121575,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-9.activation,0.08801127107321101,0.0032457839498527584,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-10.activation,0.08744177183859014,0.0032561457697295585,RegNet_400mf,N_0.025,Untrained,PyTorch
trunk_output.block4.block4-11.activation,0.08794101153250473,0.003320284343439261,RegNet_400mf,N_0.025,Untrained,PyTorch
layer1.0.relu,0.2091644360954973,0.004035330937058591,ResNeXt50,N_0.025,Untrained,PyTorch
layer1.1.relu,0.20937789913719626,0.004005828279187885,ResNeXt50,N_0.025,Untrained,PyTorch
layer1.2.relu,0.20954577771975805,0.004021178774634291,ResNeXt50,N_0.025,Untrained,PyTorch
layer2.0.relu,0.20600085229808582,0.004030851995344136,ResNeXt50,N_0.025,Untrained,PyTorch
layer2.1.relu,0.20633691453655417,0.004044754914366307,ResNeXt50,N_0.025,Untrained,PyTorch
layer2.2.relu,0.20631423869581156,0.004073265265208325,ResNeXt50,N_0.025,Untrained,PyTorch
layer2.3.relu,0.2062425872866621,0.004059952446134993,ResNeXt50,N_0.025,Untrained,PyTorch
layer3.0.relu,0.19763037324158567,0.003824918177116805,ResNeXt50,N_0.025,Untrained,PyTorch
layer3.1.relu,0.19784722248402264,0.0038680471585808003,ResNeXt50,N_0.025,Untrained,PyTorch
layer3.2.relu,0.19802629748928405,0.003886906380060455,ResNeXt50,N_0.025,Untrained,PyTorch
layer3.3.relu,0.1979690527521813,0.0038769274625698956,ResNeXt50,N_0.025,Untrained,PyTorch
layer3.4.relu,0.1978685114874131,0.0038645538404835705,ResNeXt50,N_0.025,Untrained,PyTorch
