layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,18.406452423323515,146.0,1.0974261934124767,ResNet18,N_0.005,Untrained,PyTorch
layer1.1.relu,18.434400268292787,146.0,1.0972472722299789,ResNet18,N_0.005,Untrained,PyTorch
layer2.0.relu,18.76732106187818,167.0,1.074270329950357,ResNet18,N_0.005,Untrained,PyTorch
layer2.1.relu,18.824158522786487,168.0,1.074198802040157,ResNet18,N_0.005,Untrained,PyTorch
layer3.0.relu,22.89379114839586,172.0,1.0726651144015422,ResNet18,N_0.005,Untrained,PyTorch
layer3.1.relu,23.034811876457077,172.0,1.072268022698032,ResNet18,N_0.005,Untrained,PyTorch
layer4.0.relu,21.537155660506986,168.0,1.075845249038573,ResNet18,N_0.005,Untrained,PyTorch
layer4.1.relu,21.3186670914108,168.0,1.0774586926779446,ResNet18,N_0.005,Untrained,PyTorch
layer1.0.relu,25.545726168905066,215.0,1.0323866750434632,ResNet50,N_0.005,Untrained,PyTorch
layer1.1.relu,25.54694274535976,215.0,1.032384619213875,ResNet50,N_0.005,Untrained,PyTorch
layer1.2.relu,25.548283211416653,215.0,1.0323781457301844,ResNet50,N_0.005,Untrained,PyTorch
layer2.0.relu,26.692930407755476,221.0,1.0338992370689226,ResNet50,N_0.005,Untrained,PyTorch
layer2.1.relu,26.693883113314286,221.0,1.0339023393905413,ResNet50,N_0.005,Untrained,PyTorch
layer2.2.relu,26.694399216417725,221.0,1.0339151309524994,ResNet50,N_0.005,Untrained,PyTorch
layer2.3.relu,26.6944307067272,221.0,1.0339210656574305,ResNet50,N_0.005,Untrained,PyTorch
layer3.0.relu,25.310812425924194,182.0,1.0620627627478876,ResNet50,N_0.005,Untrained,PyTorch
layer3.1.relu,25.304464384536846,182.0,1.0620965896133838,ResNet50,N_0.005,Untrained,PyTorch
layer3.2.relu,25.300480833796122,182.0,1.062131359694489,ResNet50,N_0.005,Untrained,PyTorch
layer3.3.relu,25.296368671690235,182.0,1.0621631461116212,ResNet50,N_0.005,Untrained,PyTorch
layer3.4.relu,25.290768317427965,182.0,1.0621931136809446,ResNet50,N_0.005,Untrained,PyTorch
layer3.5.relu,25.28973325667661,182.0,1.0621956079715333,ResNet50,N_0.005,Untrained,PyTorch
layer4.0.relu,23.36052121579529,89.0,1.163775497476869,ResNet50,N_0.005,Untrained,PyTorch
layer4.1.relu,23.340673593115348,89.0,1.1639315684052975,ResNet50,N_0.005,Untrained,PyTorch
layer4.2.relu,23.324319900340964,89.0,1.1640535838812403,ResNet50,N_0.005,Untrained,PyTorch
features.1,18.09783924281974,177.0,1.070315008973367,AlexNet,N_0.005,Untrained,PyTorch
features.4,24.996871813041853,175.0,1.062840388744181,AlexNet,N_0.005,Untrained,PyTorch
features.7,22.475717647512663,116.0,1.130249361601185,AlexNet,N_0.005,Untrained,PyTorch
features.9,25.260265251454335,132.0,1.107351993513688,AlexNet,N_0.005,Untrained,PyTorch
features.11,25.52129755985207,129.0,1.11288306366246,AlexNet,N_0.005,Untrained,PyTorch
layers.8.0.layers.5,18.902073250392863,158.0,1.092924250910611,MNASNet13,N_0.005,Untrained,PyTorch
layers.8.1.layers.5,18.61108942515413,188.0,1.0694548244103288,MNASNet13,N_0.005,Untrained,PyTorch
layers.8.2.layers.5,17.573658395510954,171.0,1.0776588008355148,MNASNet13,N_0.005,Untrained,PyTorch
layers.9.0.layers.5,18.56345266969738,151.0,1.1073991905861678,MNASNet13,N_0.005,Untrained,PyTorch
layers.9.1.layers.5,16.014496515345048,133.0,1.1298139788288226,MNASNet13,N_0.005,Untrained,PyTorch
layers.9.2.layers.5,14.541251478796132,112.0,1.145176005284981,MNASNet13,N_0.005,Untrained,PyTorch
layers.10.0.layers.5,11.821449970542634,76.0,1.194573899190813,MNASNet13,N_0.005,Untrained,PyTorch
layers.10.1.layers.5,8.533568531842443,66.0,1.197706393385205,MNASNet13,N_0.005,Untrained,PyTorch
layers.10.2.layers.5,11.462032966195652,101.0,1.1631891746781076,MNASNet13,N_0.005,Untrained,PyTorch
layers.11.0.layers.5,7.702059287205011,37.0,1.260485392561155,MNASNet13,N_0.005,Untrained,PyTorch
layers.11.1.layers.5,7.062136411965772,40.0,1.2457580152553895,MNASNet13,N_0.005,Untrained,PyTorch
layers.12.0.layers.5,6.442250571653941,32.0,1.2654132371908464,MNASNet13,N_0.005,Untrained,PyTorch
layers.12.1.layers.5,5.450982819891566,36.0,1.2408313753047735,MNASNet13,N_0.005,Untrained,PyTorch
layers.12.2.layers.5,4.844813971509622,26.0,1.2650537266616457,MNASNet13,N_0.005,Untrained,PyTorch
layers.12.3.layers.5,5.0240832269069315,36.0,1.2342595137906502,MNASNet13,N_0.005,Untrained,PyTorch
layers.13.0.layers.5,4.997564866101029,25.0,1.2723890202869812,MNASNet13,N_0.005,Untrained,PyTorch
layers.16,4.582989326532211,25.0,1.2603149705249774,MNASNet13,N_0.005,Untrained,PyTorch
trunk_output.block1.block1-0.activation,14.201902877568306,131.0,1.114609547524931,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block2.block2-0.activation,16.259509036158846,139.0,1.11920367911594,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block2.block2-1.activation,16.2593882395928,139.0,1.1192058063936312,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-0.activation,17.228683343974915,102.0,1.1987305921946136,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-1.activation,17.228317229185222,102.0,1.198738237719261,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-2.activation,17.22788305605449,102.0,1.198743329471936,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-3.activation,17.227587169095564,102.0,1.1987488978810081,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-4.activation,17.22721121169632,102.0,1.1987586700496664,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-5.activation,17.226294743323088,102.0,1.1987683994410592,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block3.block3-6.activation,17.225981582484877,102.0,1.198774073196711,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-0.activation,17.272787668804753,45.0,1.4098804233694653,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-1.activation,17.272280389189604,45.0,1.40989332473611,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-2.activation,17.27130296754297,45.0,1.409905735441203,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-3.activation,17.269492001155132,45.0,1.4099222194084775,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-4.activation,17.268972207818827,45.0,1.409932795120968,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-5.activation,17.269121431581425,45.0,1.4099360491019859,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-6.activation,17.26984655875986,45.0,1.4099372887106167,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-7.activation,17.26972239593526,45.0,1.409943705613086,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-8.activation,17.26946881143388,45.0,1.4099516774908174,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-9.activation,17.26822821594997,45.0,1.4099560031178389,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-10.activation,17.267862217846258,45.0,1.4099596788096878,RegNet_400mf,N_0.005,Untrained,PyTorch
trunk_output.block4.block4-11.activation,17.268377229608948,45.0,1.4099603356003771,RegNet_400mf,N_0.005,Untrained,PyTorch
layer1.0.relu,25.252549059722607,222.0,1.0263410002384783,ResNeXt50,N_0.005,Untrained,PyTorch
layer1.1.relu,25.252243842857858,222.0,1.026342893001057,ResNeXt50,N_0.005,Untrained,PyTorch
layer1.2.relu,25.25222736692507,222.0,1.0263438898833284,ResNeXt50,N_0.005,Untrained,PyTorch
layer2.0.relu,28.90463513566314,245.0,1.007367275224144,ResNeXt50,N_0.005,Untrained,PyTorch
layer2.1.relu,28.9049565712115,245.0,1.0073645836805292,ResNeXt50,N_0.005,Untrained,PyTorch
layer2.2.relu,28.90432204161238,245.0,1.0073687326347616,ResNeXt50,N_0.005,Untrained,PyTorch
layer2.3.relu,28.903458742979268,245.0,1.0073749502858602,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.0.relu,29.41622123905537,215.0,1.0211032618307996,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.1.relu,29.413294001822138,215.0,1.0211157919665623,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.2.relu,29.41325873312621,215.0,1.0211180176257528,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.3.relu,29.414989688598872,215.0,1.0211135717429267,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.4.relu,29.412436292388005,215.0,1.0211225896138871,ResNeXt50,N_0.005,Untrained,PyTorch
layer3.5.relu,29.41223641941337,215.0,1.0211306059396923,ResNeXt50,N_0.005,Untrained,PyTorch
layer4.0.relu,26.52841285065561,108.0,1.122627690612503,ResNeXt50,N_0.005,Untrained,PyTorch
layer4.1.relu,26.51978452665404,108.0,1.1226768763738841,ResNeXt50,N_0.005,Untrained,PyTorch
layer4.2.relu,26.51265885710644,108.0,1.1227488996010506,ResNeXt50,N_0.005,Untrained,PyTorch
