layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.21129559196480854,0.0043300625790537554,ResNet18,N_0.005,Untrained,PyTorch
layer1.1.relu,0.21069747000808692,0.0042191126407838545,ResNet18,N_0.005,Untrained,PyTorch
layer2.0.relu,0.20866153713155924,0.00469620499846352,ResNet18,N_0.005,Untrained,PyTorch
layer2.1.relu,0.20868398814142058,0.004768008561116164,ResNet18,N_0.005,Untrained,PyTorch
layer3.0.relu,0.2129993711323845,0.004588129382077119,ResNet18,N_0.005,Untrained,PyTorch
layer3.1.relu,0.21362841212596764,0.004611208320441144,ResNet18,N_0.005,Untrained,PyTorch
layer4.0.relu,0.2141715406287752,0.004632522961148866,ResNet18,N_0.005,Untrained,PyTorch
layer4.1.relu,0.2147909254442988,0.004703868842866739,ResNet18,N_0.005,Untrained,PyTorch
layer1.0.relu,0.20765252183383265,0.004807407420653938,ResNet50,N_0.005,Untrained,PyTorch
layer1.1.relu,0.2076380135656341,0.0048009993827498754,ResNet50,N_0.005,Untrained,PyTorch
layer1.2.relu,0.20763522726476538,0.00480011923805833,ResNet50,N_0.005,Untrained,PyTorch
layer2.0.relu,0.21019185705981855,0.004264442973596493,ResNet50,N_0.005,Untrained,PyTorch
layer2.1.relu,0.2102652244114617,0.0042579718666158495,ResNet50,N_0.005,Untrained,PyTorch
layer2.2.relu,0.21034336616757798,0.004255292098303646,ResNet50,N_0.005,Untrained,PyTorch
layer2.3.relu,0.21040884945449734,0.004251835147989766,ResNet50,N_0.005,Untrained,PyTorch
layer3.0.relu,0.19881167393917593,0.004645973775210109,ResNet50,N_0.005,Untrained,PyTorch
layer3.1.relu,0.19881274266801155,0.004645880336132196,ResNet50,N_0.005,Untrained,PyTorch
layer3.2.relu,0.1988116891034846,0.0046456761192683665,ResNet50,N_0.005,Untrained,PyTorch
layer3.3.relu,0.1988134367023722,0.004645968993423098,ResNet50,N_0.005,Untrained,PyTorch
layer3.4.relu,0.19881352959401716,0.004646316182936912,ResNet50,N_0.005,Untrained,PyTorch
layer3.5.relu,0.1988148453524165,0.004647071477049034,ResNet50,N_0.005,Untrained,PyTorch
layer4.0.relu,0.14284185136374145,0.004096540099252809,ResNet50,N_0.005,Untrained,PyTorch
layer4.1.relu,0.14285172613702027,0.004077456472559021,ResNet50,N_0.005,Untrained,PyTorch
layer4.2.relu,0.14285360367595626,0.004078186089913651,ResNet50,N_0.005,Untrained,PyTorch
features.1,0.1695368232465666,0.003705494451048204,AlexNet,N_0.005,Untrained,PyTorch
features.4,0.23346799027846435,0.0046733010615202545,AlexNet,N_0.005,Untrained,PyTorch
features.7,0.29119987152288246,0.002475914857589999,AlexNet,N_0.005,Untrained,PyTorch
features.9,0.291578478681466,0.004483311630801746,AlexNet,N_0.005,Untrained,PyTorch
