layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,12.758267966011672,107.0,1.1398280612016223,ResNet18,N_0.2,Untrained,PyTorch
layer1.1.relu,19.416575103777234,140.0,1.1085183156593623,ResNet18,N_0.2,Untrained,PyTorch
layer2.0.relu,23.600624743594867,191.0,1.0638355802534205,ResNet18,N_0.2,Untrained,PyTorch
layer2.1.relu,22.19535639892387,238.0,1.0298506199105206,ResNet18,N_0.2,Untrained,PyTorch
layer3.0.relu,21.769084463887292,275.0,1.010709715046905,ResNet18,N_0.2,Untrained,PyTorch
layer3.1.relu,16.846393318800978,266.0,1.0273719298150998,ResNet18,N_0.2,Untrained,PyTorch
layer4.0.relu,11.937366181069605,248.0,1.0274700410419733,ResNet18,N_0.2,Untrained,PyTorch
layer4.1.relu,10.541157959696191,245.0,1.0223795546069998,ResNet18,N_0.2,Untrained,PyTorch
layer1.0.relu,25.48891844917027,207.0,1.0479618120066518,ResNet50,N_0.2,Untrained,PyTorch
layer1.1.relu,15.259850158997047,175.0,1.060290914674386,ResNet50,N_0.2,Untrained,PyTorch
layer1.2.relu,11.987992033432741,136.0,1.096089313950474,ResNet50,N_0.2,Untrained,PyTorch
layer2.0.relu,9.540030034368685,72.0,1.1823185014213458,ResNet50,N_0.2,Untrained,PyTorch
layer2.1.relu,7.620906655925136,49.0,1.2249419203072434,ResNet50,N_0.2,Untrained,PyTorch
layer2.2.relu,7.157469997724183,41.0,1.2424162359702497,ResNet50,N_0.2,Untrained,PyTorch
layer2.3.relu,5.624543880894751,23.0,1.3025854367537832,ResNet50,N_0.2,Untrained,PyTorch
layer3.0.relu,5.336756453335696,21.0,1.3046263767348913,ResNet50,N_0.2,Untrained,PyTorch
layer3.1.relu,6.284281214125183,42.0,1.228027430302155,ResNet50,N_0.2,Untrained,PyTorch
layer3.2.relu,5.456125599591184,34.0,1.2393366641495402,ResNet50,N_0.2,Untrained,PyTorch
layer3.3.relu,4.2804058056759295,23.0,1.2534696410621375,ResNet50,N_0.2,Untrained,PyTorch
layer3.4.relu,4.816613781619367,55.0,1.1937324941557297,ResNet50,N_0.2,Untrained,PyTorch
layer3.5.relu,4.1256766537306415,48.0,1.1899408948590977,ResNet50,N_0.2,Untrained,PyTorch
layer4.0.relu,3.6253359771228415,31.0,1.2096845257282005,ResNet50,N_0.2,Untrained,PyTorch
layer4.1.relu,3.343809649114792,25.0,1.2141601160265225,ResNet50,N_0.2,Untrained,PyTorch
layer4.2.relu,3.1848560970780446,28.0,1.201958848018955,ResNet50,N_0.2,Untrained,PyTorch
features.1,17.700277796014976,160.0,1.0843298919751425,AlexNet,N_0.2,Untrained,PyTorch
features.4,26.67174385711113,184.0,1.0571714164591577,AlexNet,N_0.2,Untrained,PyTorch
features.7,24.321490837939226,120.0,1.128245419807724,AlexNet,N_0.2,Untrained,PyTorch
features.9,24.384487611832927,142.0,1.109909921133975,AlexNet,N_0.2,Untrained,PyTorch
features.11,17.994938294323507,136.0,1.1207121927997528,AlexNet,N_0.2,Untrained,PyTorch
trunk_output.block1.block1-0.activation,25.597625848667075,246.0,1.0221049796885964,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block2.block2-0.activation,22.634868050104437,273.0,0.996006602997029,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block2.block2-1.activation,28.095601326988064,330.0,0.9492398576469088,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block3.block3-0.activation,21.06873839011783,329.0,0.9624356333554922,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block3.block3-1.activation,17.290117558859087,291.0,1.0097780131148557,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block3.block3-2.activation,14.683281985339214,295.0,0.9996880070866144,RegNet_400mf,N_0.2,Untrained,PyTorch
trunk_output.block3.block3-3.activation,8.196732098301323,218.0,1.0598343105246288,RegNet_400mf,N_0.2,Untrained,PyTorch
