layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,14.553417153057763,112.0,1.1392112200175724,ResNet18,N_0.0125,Untrained,PyTorch
layer1.1.relu,14.763165348097779,113.0,1.1377542252050095,ResNet18,N_0.0125,Untrained,PyTorch
layer2.0.relu,17.273877966527717,147.0,1.1005821360779928,ResNet18,N_0.0125,Untrained,PyTorch
layer2.1.relu,17.40686308216306,147.0,1.1025127194278843,ResNet18,N_0.0125,Untrained,PyTorch
layer3.0.relu,18.555013180619117,168.0,1.092007466470685,ResNet18,N_0.0125,Untrained,PyTorch
layer3.1.relu,18.631392296858632,170.0,1.092023935057668,ResNet18,N_0.0125,Untrained,PyTorch
layer4.0.relu,15.848256412796498,197.0,1.071054047680241,ResNet18,N_0.0125,Untrained,PyTorch
layer4.1.relu,14.228418604907917,193.0,1.0743800493795326,ResNet18,N_0.0125,Untrained,PyTorch
layer1.0.relu,24.218668470779374,192.0,1.050551675663612,ResNet50,N_0.0125,Untrained,PyTorch
layer1.1.relu,24.21533927089234,192.0,1.050628633124783,ResNet50,N_0.0125,Untrained,PyTorch
layer1.2.relu,24.215897814670416,192.0,1.0506226994451329,ResNet50,N_0.0125,Untrained,PyTorch
layer2.0.relu,22.074078985920618,196.0,1.0511261647100723,ResNet50,N_0.0125,Untrained,PyTorch
layer2.1.relu,22.083077859590283,196.0,1.051168117160112,ResNet50,N_0.0125,Untrained,PyTorch
layer2.2.relu,22.072628226356834,196.0,1.0513014376941967,ResNet50,N_0.0125,Untrained,PyTorch
layer2.3.relu,22.056664130161202,196.0,1.0514796334088836,ResNet50,N_0.0125,Untrained,PyTorch
layer3.0.relu,22.834431377796744,173.0,1.0690117723582002,ResNet50,N_0.0125,Untrained,PyTorch
layer3.1.relu,22.84656247855745,173.0,1.069070827678548,ResNet50,N_0.0125,Untrained,PyTorch
layer3.2.relu,22.803005168424402,173.0,1.0694329948470886,ResNet50,N_0.0125,Untrained,PyTorch
layer3.3.relu,22.818217115948126,173.0,1.0695443002168437,ResNet50,N_0.0125,Untrained,PyTorch
