layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.884938235401511,10.0,1.2777998136694309,ResNet18,U_0.2,Untrained,PyTorch
layer1.1.relu,2.099867940466225,5.0,1.3190514235472028,ResNet18,U_0.2,Untrained,PyTorch
layer2.0.relu,2.50654992217269,14.0,1.3537040642969485,ResNet18,U_0.2,Untrained,PyTorch
layer2.1.relu,2.449705358111399,14.0,1.2122312558294643,ResNet18,U_0.2,Untrained,PyTorch
layer3.0.relu,2.53080391532925,32.0,1.169638964581716,ResNet18,U_0.2,Untrained,PyTorch
layer3.1.relu,2.397883735725362,26.0,1.1407878033531562,ResNet18,U_0.2,Untrained,PyTorch
layer4.0.relu,2.4594657301366487,66.0,1.142812573209254,ResNet18,U_0.2,Untrained,PyTorch
layer4.1.relu,2.2093849184050915,53.0,1.1269753982025061,ResNet18,U_0.2,Untrained,PyTorch
layer1.0.relu,3.0356187959251835,12.0,1.3498204221210512,ResNet50,U_0.2,Untrained,PyTorch
layer1.1.relu,2.834146088479879,13.0,1.383988151212057,ResNet50,U_0.2,Untrained,PyTorch
layer1.2.relu,2.5425979943204173,11.0,1.936290431627792,ResNet50,U_0.2,Untrained,PyTorch
layer2.0.relu,2.4626801337529383,15.0,1.8256789483398668,ResNet50,U_0.2,Untrained,PyTorch
layer2.1.relu,2.441237878921947,10.0,1.7665553485772518,ResNet50,U_0.2,Untrained,PyTorch
layer2.2.relu,2.31562189954762,8.0,1.7644483781803613,ResNet50,U_0.2,Untrained,PyTorch
layer2.3.relu,2.1212271721019724,6.0,1.835136241976997,ResNet50,U_0.2,Untrained,PyTorch
layer3.0.relu,2.258679071090369,15.0,1.6877819333804687,ResNet50,U_0.2,Untrained,PyTorch
layer3.1.relu,1.9846986782495948,5.0,1.7804606932105391,ResNet50,U_0.2,Untrained,PyTorch
layer3.2.relu,1.9276378562744931,4.0,1.7539019387331929,ResNet50,U_0.2,Untrained,PyTorch
layer3.3.relu,1.6525149459643822,2.0,1.765139812622348,ResNet50,U_0.2,Untrained,PyTorch
layer3.4.relu,0.0,2.0,1.7345626747862395,ResNet50,U_0.2,Untrained,PyTorch
layer3.5.relu,0.0,1.0,1.7342714448844465,ResNet50,U_0.2,Untrained,PyTorch
layer4.0.relu,0.0,2.0,1.6031535899163787,ResNet50,U_0.2,Untrained,PyTorch
layer4.1.relu,0.0,2.0,1.6255588121755216,ResNet50,U_0.2,Untrained,PyTorch
layer4.2.relu,0.0,1.0,1.6346595771700703,ResNet50,U_0.2,Untrained,PyTorch
features.1,3.4065126057847257,7.0,1.4189978426197116,AlexNet,U_0.2,Untrained,PyTorch
features.4,3.4853842120970198,15.0,1.261652505641793,AlexNet,U_0.2,Untrained,PyTorch
features.7,3.7423582142581626,21.0,1.3326584165341238,AlexNet,U_0.2,Untrained,PyTorch
features.9,3.6415979673631846,20.0,1.3390341001470898,AlexNet,U_0.2,Untrained,PyTorch
features.11,3.578711406773974,21.0,1.3051675826648736,AlexNet,U_0.2,Untrained,PyTorch
layers.8.0.layers.5,4.37194908372127,7.0,1.6297424642416989,MNASNet13,U_0.2,Untrained,PyTorch
layers.8.1.layers.5,4.047384502619896,9.0,2.275356796658314,MNASNet13,U_0.2,Untrained,PyTorch
layers.8.2.layers.5,3.80838784616931,9.0,1.5875399805938597,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.0.layers.5,3.9785424691857902,10.0,1.5204112078169467,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.1.layers.5,2.885861428668386,6.0,1.4656602257377516,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.2.layers.5,3.3598467980524926,7.0,1.530971189084923,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.0.layers.5,3.8884632645276818,9.0,1.4999479096555977,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.1.layers.5,3.050973621851123,6.0,1.5604545679445765,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.2.layers.5,3.5626007889252698,9.0,1.419739952226352,MNASNet13,U_0.2,Untrained,PyTorch
layers.11.0.layers.5,3.0231802663856193,6.0,1.7128404121990426,MNASNet13,U_0.2,Untrained,PyTorch
layers.11.1.layers.5,3.1081072247073878,6.0,1.9736402006705505,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.0.layers.5,2.54835779134521,6.0,1.824426285978311,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.1.layers.5,2.126096253474377,3.0,1.6691638602688361,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.2.layers.5,1.8358519042400672,3.0,1.778730094254161,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.3.layers.5,1.781932877417627,3.0,1.681821237723464,MNASNet13,U_0.2,Untrained,PyTorch
layers.13.0.layers.5,1.712343539690681,3.0,1.7693590862458852,MNASNet13,U_0.2,Untrained,PyTorch
layers.16,1.4880693005059198,1.0,1.6820609389913874,MNASNet13,U_0.2,Untrained,PyTorch
trunk_output.block1.block1-0.activation,2.5179813985308077,3.0,1.7574574794232967,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block2.block2-0.activation,2.3335242331689106,6.0,1.4271793806313045,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block2.block2-1.activation,2.187792167251091,5.0,1.399461150216541,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-0.activation,2.1676850328827193,8.0,1.3291475169956628,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-1.activation,1.7612525246290227,3.0,1.3497017666821842,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-2.activation,1.4793599497879841,1.0,1.3542395079711436,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-3.activation,1.4487353819445354,1.0,1.592489481713922,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-4.activation,1.4523810315630281,1.0,1.4289964297870577,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-5.activation,1.4174847807911342,1.0,1.377984315113023,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block3.block3-6.activation,1.359185969852302,1.0,2.114883527797705,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-0.activation,1.3703100741697847,1.0,1.8177683125237274,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-1.activation,1.3783827135136366,1.0,1.8529051608323452,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-2.activation,1.3324909904108126,1.0,1.8988774547099518,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-3.activation,1.2633458826631134,1.0,2.031317299741929,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-4.activation,1.2875377449109429,1.0,1.4899522595805088,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-5.activation,1.2421962289996518,1.0,2.0038369934033007,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-6.activation,1.1908782616755387,1.0,2.036606369519477,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-7.activation,1.1709262317218005,1.0,2.0147345223206563,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-8.activation,1.1218019007248794,1.0,2.0199882071903152,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-9.activation,1.1279688477799734,1.0,2.013605577224959,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-10.activation,1.112844368446512,1.0,2.021007063103859,RegNet_400mf,U_0.2,Untrained,PyTorch
trunk_output.block4.block4-11.activation,1.0972839943708972,1.0,2.033631519362703,RegNet_400mf,U_0.2,Untrained,PyTorch
layer1.0.relu,2.837316826815445,8.0,1.4697162037057738,ResNeXt50,U_0.2,Untrained,PyTorch
layer1.1.relu,2.601390976223681,8.0,1.3895214506951554,ResNeXt50,U_0.2,Untrained,PyTorch
layer1.2.relu,2.421916350803124,8.0,1.3099900723246942,ResNeXt50,U_0.2,Untrained,PyTorch
layer2.0.relu,2.865594987206732,20.0,1.7930004751014168,ResNeXt50,U_0.2,Untrained,PyTorch
layer2.1.relu,2.370010798891361,13.0,1.7687474413644484,ResNeXt50,U_0.2,Untrained,PyTorch
layer2.2.relu,1.9171021662172247,5.0,1.746050021290746,ResNeXt50,U_0.2,Untrained,PyTorch
layer2.3.relu,1.7745688950080758,3.0,1.8105373395183386,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.0.relu,1.7788919242781964,4.0,1.6836170480315313,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.1.relu,1.6864972008941324,3.0,1.7915414355206596,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.2.relu,1.663190776306215,2.0,1.8491221330238516,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.3.relu,1.478115627307454,1.0,1.8284543197549095,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.4.relu,1.453517480488677,1.0,1.8291168311983532,ResNeXt50,U_0.2,Untrained,PyTorch
layer3.5.relu,1.4281553116836385,1.0,1.8857138438837595,ResNeXt50,U_0.2,Untrained,PyTorch
layer4.0.relu,1.4612633687089716,1.0,1.7100307569184778,ResNeXt50,U_0.2,Untrained,PyTorch
layer4.1.relu,1.4072983737405744,1.0,1.7584407236231299,ResNeXt50,U_0.2,Untrained,PyTorch
layer4.2.relu,0.0,1.0,1.7562443614800307,ResNeXt50,U_0.2,Untrained,PyTorch
