layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,29.950790959622548,258.0,1.004697828947351,ResNet18,U_0.3,Untrained,PyTorch
layer1.1.relu,23.36798743753006,256.0,1.0032134257228142,ResNet18,U_0.3,Untrained,PyTorch
layer2.0.relu,25.625964413577876,304.0,0.9583893423577061,ResNet18,U_0.3,Untrained,PyTorch
layer2.1.relu,28.843901189682068,347.0,0.9364984829633833,ResNet18,U_0.3,Untrained,PyTorch
layer3.0.relu,22.487469164922008,344.0,0.9359582146502493,ResNet18,U_0.3,Untrained,PyTorch
layer3.1.relu,18.789622194631104,348.0,0.9365684973104124,ResNet18,U_0.3,Untrained,PyTorch
layer4.0.relu,13.73289597603617,319.0,0.9465026445628222,ResNet18,U_0.3,Untrained,PyTorch
layer4.1.relu,10.634988145066592,301.0,0.9350250858121789,ResNet18,U_0.3,Untrained,PyTorch
layer1.0.relu,28.11919948905684,241.0,1.0177310720469344,ResNet50,U_0.3,Untrained,PyTorch
layer1.1.relu,22.68579490110048,230.0,1.023534113646352,ResNet50,U_0.3,Untrained,PyTorch
layer1.2.relu,15.684232331037837,152.0,1.0910063275185464,ResNet50,U_0.3,Untrained,PyTorch
layer2.0.relu,13.164533938068356,128.0,1.1093439858429632,ResNet50,U_0.3,Untrained,PyTorch
layer2.1.relu,11.341721127536596,94.0,1.1436800494115855,ResNet50,U_0.3,Untrained,PyTorch
layer2.2.relu,10.092402077311833,113.0,1.1252791955903323,ResNet50,U_0.3,Untrained,PyTorch
layer2.3.relu,8.084901651849323,70.0,1.1786149131311319,ResNet50,U_0.3,Untrained,PyTorch
layer3.0.relu,7.9911491532366945,95.0,1.1412884534889116,ResNet50,U_0.3,Untrained,PyTorch
layer3.1.relu,5.696193106698296,56.0,1.1887712627497617,ResNet50,U_0.3,Untrained,PyTorch
layer3.2.relu,5.543437774440729,74.0,1.1658027247683225,ResNet50,U_0.3,Untrained,PyTorch
layer3.3.relu,4.183640709852975,32.0,1.219331056296308,ResNet50,U_0.3,Untrained,PyTorch
