layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.21020806089705005,0.0048644630909586645,ResNet18,N_0.1,Untrained,PyTorch
layer1.1.relu,0.20817016657905973,0.004797845471487197,ResNet18,N_0.1,Untrained,PyTorch
layer2.0.relu,0.21446713145661173,0.005505408358812415,ResNet18,N_0.1,Untrained,PyTorch
layer2.1.relu,0.21540403859373664,0.005092277350888556,ResNet18,N_0.1,Untrained,PyTorch
layer3.0.relu,0.21318632658276146,0.005108724128967927,ResNet18,N_0.1,Untrained,PyTorch
layer3.1.relu,0.2124054332877139,0.004398038918906217,ResNet18,N_0.1,Untrained,PyTorch
layer4.0.relu,0.20487874581323307,0.004595734179263664,ResNet18,N_0.1,Untrained,PyTorch
layer4.1.relu,0.19557530423013317,0.004807475896568234,ResNet18,N_0.1,Untrained,PyTorch
layer1.0.relu,0.21326997992154106,0.004576369947752941,ResNet50,N_0.1,Untrained,PyTorch
layer1.1.relu,0.2030772863849211,0.005055829235468881,ResNet50,N_0.1,Untrained,PyTorch
layer1.2.relu,0.19720943561160073,0.005575155826060525,ResNet50,N_0.1,Untrained,PyTorch
layer2.0.relu,0.197516771641067,0.005726689495159693,ResNet50,N_0.1,Untrained,PyTorch
layer2.1.relu,0.1904885175412947,0.004188557897938798,ResNet50,N_0.1,Untrained,PyTorch
layer2.2.relu,0.19187730804073733,0.003233257953086665,ResNet50,N_0.1,Untrained,PyTorch
layer2.3.relu,0.18232680858532901,0.003933355859378402,ResNet50,N_0.1,Untrained,PyTorch
layer3.0.relu,0.18648511414568986,0.004167962996788339,ResNet50,N_0.1,Untrained,PyTorch
layer3.1.relu,0.18175790592682978,0.0038550639341599787,ResNet50,N_0.1,Untrained,PyTorch
layer3.2.relu,0.17393116577131304,0.0036864582958641254,ResNet50,N_0.1,Untrained,PyTorch
layer3.3.relu,0.17493415940911572,0.0041917765094298225,ResNet50,N_0.1,Untrained,PyTorch
layer3.4.relu,0.17032349190469032,0.005975011720868858,ResNet50,N_0.1,Untrained,PyTorch
layer3.5.relu,0.1584467289484805,0.0037182723673925434,ResNet50,N_0.1,Untrained,PyTorch
