layer,score,score_error,architecture,task,kind,source
c2,0.1843303572588381,0.004873957054369001,AtlasNet,Eig,a,pcs
c2,0.17955999510151832,0.005539408089360836,AtlasNet,Eig,a,pcs
c2,0.17560929257567695,0.005043718349054709,AtlasNet,Eig,a,pcs
c2,0.16775081401419106,0.0051004098550558015,AtlasNet,Eig,a,pcs
c2,0.1625678265859052,0.005144307354310093,AtlasNet,Eig,a,pcs
c2,0.15273137130852218,0.005604550286370097,AtlasNet,Eig,a,pcs
c2,0.1446711072226153,0.0062327524892268294,AtlasNet,Eig,a,pcs
c2,0.13647427627272976,0.00603465658997156,AtlasNet,Eig,a,pcs
c2,0.13091105656687382,0.005959487520582758,AtlasNet,Eig,a,pcs
c2,0.11435748752888898,0.0067306931879973575,AtlasNet,Eig,a,pcs
c2,0.09854991161116292,0.005962147694912036,AtlasNet,Eig,a,pcs
c2,0.0835907102661239,0.007312231584970631,AtlasNet,Eig,a,pcs
c2,0.06871775487372035,0.007534660911796096,AtlasNet,Eig,a,pcs
c2,0.05608386376235444,0.0070411598566181574,AtlasNet,Eig,a,pcs
c2,0.04520678943842194,0.007780884574686718,AtlasNet,Eig,a,pcs
c2,0.042328453834239894,0.007060272629924055,AtlasNet,Eig,a,pcs
c2,0.0420627941058779,0.00696166415874416,AtlasNet,Eig,a,pcs
c2,0.041653154146687486,0.006829347878629865,AtlasNet,Eig,a,pcs
c2,0.04140321381796749,0.006935068258161256,AtlasNet,Eig,a,pcs
