layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.21740602701251094,0.0037539479646791587,ResNet18,U_0.2,Untrained,PyTorch
layer1.1.relu,0.21941370976500554,0.004175421731056801,ResNet18,U_0.2,Untrained,PyTorch
layer2.0.relu,0.22664849913507246,0.00480104882376967,ResNet18,U_0.2,Untrained,PyTorch
layer2.1.relu,0.23184310063679217,0.0034727424982969263,ResNet18,U_0.2,Untrained,PyTorch
layer3.0.relu,0.23108915115337525,0.004086327290017879,ResNet18,U_0.2,Untrained,PyTorch
layer3.1.relu,0.23691011435808101,0.00391890486735168,ResNet18,U_0.2,Untrained,PyTorch
layer4.0.relu,0.22207374224231607,0.0037594672884764656,ResNet18,U_0.2,Untrained,PyTorch
layer4.1.relu,0.2125791425780927,0.00464863289505598,ResNet18,U_0.2,Untrained,PyTorch
layer1.0.relu,0.21096724363029068,0.004046254155247588,ResNet50,U_0.2,Untrained,PyTorch
layer1.1.relu,0.2113188911715327,0.004108144128638115,ResNet50,U_0.2,Untrained,PyTorch
layer1.2.relu,0.21992131270577578,0.004465524271844412,ResNet50,U_0.2,Untrained,PyTorch
layer2.0.relu,0.21649346552239515,0.004295478816004052,ResNet50,U_0.2,Untrained,PyTorch
layer2.1.relu,0.21383663879868178,0.0047779405721808275,ResNet50,U_0.2,Untrained,PyTorch
layer2.2.relu,0.21934328903902106,0.0031936702540269,ResNet50,U_0.2,Untrained,PyTorch
layer2.3.relu,0.20983895442519213,0.0027403307040620955,ResNet50,U_0.2,Untrained,PyTorch
layer3.0.relu,0.2155385701163024,0.002235253629260772,ResNet50,U_0.2,Untrained,PyTorch
layer3.1.relu,0.21363490537327293,0.0037956565078994127,ResNet50,U_0.2,Untrained,PyTorch
layer3.2.relu,0.21622184368876857,0.004659287704017169,ResNet50,U_0.2,Untrained,PyTorch
layer3.3.relu,0.21331010151259228,0.004045215761170514,ResNet50,U_0.2,Untrained,PyTorch
layer3.4.relu,0.20888232718412741,0.004362630852433967,ResNet50,U_0.2,Untrained,PyTorch
layer3.5.relu,0.2011876321186674,0.0038065967400068277,ResNet50,U_0.2,Untrained,PyTorch
layer4.0.relu,0.19083788560529907,0.003925626652401822,ResNet50,U_0.2,Untrained,PyTorch
layer4.1.relu,0.17559557649442809,0.00401422661410043,ResNet50,U_0.2,Untrained,PyTorch
layer4.2.relu,0.16562330283958468,0.004927034102607812,ResNet50,U_0.2,Untrained,PyTorch
features.1,0.16953592024786715,0.0037053141882460307,AlexNet,U_0.2,Untrained,PyTorch
features.4,0.23413302506995576,0.004820711456787042,AlexNet,U_0.2,Untrained,PyTorch
features.7,0.2878638862454601,0.0031602722323931694,AlexNet,U_0.2,Untrained,PyTorch
features.9,0.28304288461883564,0.0037659765794765625,AlexNet,U_0.2,Untrained,PyTorch
features.11,0.2793851174677889,0.00408682540647253,AlexNet,U_0.2,Untrained,PyTorch
layers.8.0.layers.5,0.18778195459287675,0.004071876727056646,MNASNet13,U_0.2,Untrained,PyTorch
layers.8.1.layers.5,0.1947756445136543,0.0035988195018510495,MNASNet13,U_0.2,Untrained,PyTorch
layers.8.2.layers.5,0.1916436348119328,0.003199274974768708,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.0.layers.5,0.19976542739911862,0.0034076646495165243,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.1.layers.5,0.20434968829002534,0.004191919497225473,MNASNet13,U_0.2,Untrained,PyTorch
layers.9.2.layers.5,0.21222923060815255,0.0039760174572411044,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.0.layers.5,0.20158790131054077,0.004843764906908909,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.1.layers.5,0.21239780972970324,0.005332263493805021,MNASNet13,U_0.2,Untrained,PyTorch
layers.10.2.layers.5,0.21715137718290267,0.004942066746723589,MNASNet13,U_0.2,Untrained,PyTorch
layers.11.0.layers.5,0.21016265968372894,0.004297574735922922,MNASNet13,U_0.2,Untrained,PyTorch
layers.11.1.layers.5,0.2072927938486438,0.004929402401615168,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.0.layers.5,0.19650334731173316,0.005826929128202323,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.1.layers.5,0.18654162915060538,0.005609298185937379,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.2.layers.5,0.17934291403406727,0.005104631381980417,MNASNet13,U_0.2,Untrained,PyTorch
layers.12.3.layers.5,0.1741857622942349,0.004813394092935897,MNASNet13,U_0.2,Untrained,PyTorch
layers.13.0.layers.5,0.16241975458291283,0.003995609661374602,MNASNet13,U_0.2,Untrained,PyTorch
