layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_0,EP,wtA_-0.2,wtPCs_10
c2,50.07452052377315,94.0,1.8251882536651884,AtlasNet_0,EP,wtA_-0.2,wtPCs_50
c2,58.87101571251813,121.0,1.1530802259072306,AtlasNet_0,EP,wtA_-0.2,wtPCs_100
c2,108.19940264103738,255.0,0.8537033424972007,AtlasNet_0,EP,wtA_-0.2,wtPCs_500
c2,113.40102295314364,293.0,0.8016577515336976,AtlasNet_0,EP,wtA_-0.2,wtPCs_1000
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_0,EP,wtA_-0.6,wtPCs_10
c2,43.05795939709415,91.0,1.8552132375520294,AtlasNet_0,EP,wtA_-0.6,wtPCs_50
c2,50.34483189904122,108.0,1.2239200913204265,AtlasNet_0,EP,wtA_-0.6,wtPCs_100
c2,82.38592940230123,217.0,0.9300266952203415,AtlasNet_0,EP,wtA_-0.6,wtPCs_500
c2,94.48831077229138,251.0,0.8730413889386854,AtlasNet_0,EP,wtA_-0.6,wtPCs_1000
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_0,EP,wtA_-1.0,wtPCs_10
c2,33.96114433832348,85.0,1.8900427156692245,AtlasNet_0,EP,wtA_-1.0,wtPCs_50
c2,37.67688952406628,94.0,1.3174470543150005,AtlasNet_0,EP,wtA_-1.0,wtPCs_100
c2,48.32398551617553,141.0,1.074149031008558,AtlasNet_0,EP,wtA_-1.0,wtPCs_500
c2,52.58200064749053,159.0,1.0294217031040043,AtlasNet_0,EP,wtA_-1.0,wtPCs_1000
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_0,EP,wtA_-1.4,wtPCs_10
c2,27.50122007560429,79.0,1.9305470433040643,AtlasNet_0,EP,wtA_-1.4,wtPCs_50
c2,28.6409186489232,82.0,1.4202521375906354,AtlasNet_0,EP,wtA_-1.4,wtPCs_100
c2,30.686735301880717,92.0,1.2480828027989288,AtlasNet_0,EP,wtA_-1.4,wtPCs_500
c2,31.163628703403656,95.0,1.2238958333414764,AtlasNet_0,EP,wtA_-1.4,wtPCs_1000
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_0,EP,wtA_-2,wtPCs_10
c2,23.37005990776881,73.0,2.003862379348758,AtlasNet_0,EP,wtA_-2,wtPCs_50
c2,23.479738583938822,74.0,1.5729403792863157,AtlasNet_0,EP,wtA_-2,wtPCs_100
c2,23.617113254124146,74.0,1.476010860710057,AtlasNet_0,EP,wtA_-2,wtPCs_500
c2,23.619557167885816,75.0,1.468587964357801,AtlasNet_0,EP,wtA_-2,wtPCs_1000
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_0,EP,wtA_-3,wtPCs_10
c2,21.770037223070958,70.0,2.1358427856551794,AtlasNet_0,EP,wtA_-3,wtPCs_50
c2,21.767536861543828,70.0,1.802694176211671,AtlasNet_0,EP,wtA_-3,wtPCs_100
c2,21.770024935381134,70.0,1.7539612850794257,AtlasNet_0,EP,wtA_-3,wtPCs_500
c2,21.769422539119375,70.0,1.7526937594766188,AtlasNet_0,EP,wtA_-3,wtPCs_1000
