layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,101.48377183878571,321.0,0.7875228284369498,AtlasNet_seed=0,stdev_0.1,a_-0.2,pcs_NA
c2,101.48393240354643,321.0,0.7875236286717019,AtlasNet_seed=0,stdev_1.0,a_-0.2,pcs_NA
c2,94.93878516888667,273.0,0.849050350818033,AtlasNet_seed=0,stdev_0.1,a_-0.6,pcs_NA
c2,94.94134403604083,273.0,0.8490481029335406,AtlasNet_seed=0,stdev_1.0,a_-0.6,pcs_NA
c2,54.659289296451476,169.0,1.0082911050982593,AtlasNet_seed=0,stdev_0.1,a_-1.0,pcs_NA
c2,54.66158129725585,169.0,1.0082847539063569,AtlasNet_seed=0,stdev_1.0,a_-1.0,pcs_NA
c2,31.42654832654795,96.0,1.2134402484123288,AtlasNet_seed=0,stdev_0.1,a_-1.4,pcs_NA
c2,31.42687066357164,96.0,1.2134370034630462,AtlasNet_seed=0,stdev_1.0,a_-1.4,pcs_NA
c2,23.628296291198698,75.0,1.4666296496883509,AtlasNet_seed=0,stdev_0.1,a_-2,pcs_NA
c2,23.628871108382135,75.0,1.4666270552821281,AtlasNet_seed=0,stdev_1.0,a_-2,pcs_NA
c2,21.7693521302638,70.0,1.7525535647365622,AtlasNet_seed=0,stdev_0.1,a_-3,pcs_NA
c2,21.76954569305817,70.0,1.7525568138423395,AtlasNet_seed=0,stdev_1.0,a_-3,pcs_NA
