layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,160.68255115632823,314.0,0.7582169001648831,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_10
c2,160.22156255712312,339.0,0.743729349360357,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_50
c2,156.09218475232106,343.0,0.7400209464962387,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_100
c2,124.69154976008132,338.0,0.761019659377507,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_500
c2,107.88881758023456,335.0,0.7719615629696305,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_1000
c2,157.6475029714346,306.0,0.7760736529213468,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_10
c2,165.8793936279079,336.0,0.7429308595644712,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_50
c2,166.335107170878,341.0,0.7365172703303541,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_100
c2,139.83751961082606,340.0,0.7520067101686913,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_500
c2,124.27365184449958,338.0,0.7592300693658907,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_1000
c2,150.2991743592205,291.0,0.8022655863119321,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_10
c2,165.04053335922265,322.0,0.7607856453804036,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_50
c2,170.3328300362519,329.0,0.7504924769902414,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_100
c2,161.65708213525386,334.0,0.7495263482063137,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_500
c2,153.92085361677712,335.0,0.7496872528515005,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_1000
c2,136.99039057798407,267.0,0.8342535334238891,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_10
c2,150.08891024712207,292.0,0.7995154399976856,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_50
c2,154.88531516848636,297.0,0.7917781027360208,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_100
c2,157.2348297564379,303.0,0.7859383941610456,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_500
c2,157.11401201903496,304.0,0.7848223490924532,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_1000
c2,113.95782647989718,228.0,0.8859283845465034,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_10
c2,118.43270412017303,238.0,0.8671157617677862,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_50
c2,119.46626843510191,240.0,0.864887031678595,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_100
c2,119.92141283365702,241.0,0.8634066069913248,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_500
c2,119.99843283862074,241.0,0.863270930506759,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_1000
c2,89.71303067852479,179.0,0.9810560032305057,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_10
c2,90.0097961421997,180.0,0.9774436739740234,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_50
c2,90.04970396447123,180.0,0.9772351269593931,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_100
c2,90.04185971537709,180.0,0.9772502091596927,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_500
c2,90.0420896275322,180.0,0.9772538289741541,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_1000
