layer,effective dimensionality,80% variance,alpha,alpha_R,architecture,task,kind,source
c2,541.8023458133093,487.0,0.39234400290931537,0.4305133970357131,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-0.2
c2,251.04115837301734,386.0,0.676783828328632,0.6909625972613685,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-0.6
c2,32.47865788425546,168.0,1.0621981862659813,1.0662259687645275,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-1.0
c2,6.881087330953265,19.0,1.4604383944672823,1.4612033141113392,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-1.4
c2,2.488417935355558,3.0,2.0606466982768556,2.0597974012960325,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-2
c2,1.4190842713556904,1.0,3.061408412219072,3.059325770900424,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-3
c2,541.307920083497,486.0,0.39145227179874026,0.43041203841314435,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-0.2
c2,251.6388639686798,386.0,0.6753094283332143,0.6906492785546609,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-0.6
c2,32.48262388565844,168.0,1.0617604949598936,1.0668114865426397,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-1.0
c2,6.867591156782062,19.0,1.460277082582322,1.462057642289202,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-1.4
c2,2.482295831345478,3.0,2.060883901278137,2.060814239169445,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-2
c2,1.4167241523530725,1.0,3.061635210741108,3.0604470861369615,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-3
c2,497.93173160365495,445.0,0.40618201520693675,0.4529872571928916,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-0.2
c2,249.44816600633104,358.0,0.6854498779160577,0.704347432041919,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-0.6
c2,32.81143794531813,161.0,1.0751160610693944,1.0823182873183101,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-1.0
c2,6.905966112723876,19.0,1.4753302043306569,1.4786524141167778,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-1.4
c2,2.490625182871341,3.0,2.0772874876290786,2.0784345592079463,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-2
c2,1.4193191777110654,1.0,3.0794711835265356,3.078995475256552,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-3
