layer,effective dimensionality,80% variance,alpha,alpha_R,architecture,task,kind,source
c2,444.1167926944658,450.0,0.5061566732199078,0.5325195238934302,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.2
c2,13.276806343380638,63.0,1.260683111456327,1.2627988675927304,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.6
c2,2.488251685259901,3.0,2.060847169722164,2.059705259654621,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.0
c2,1.5178445580122228,1.0,2.861491301238086,2.859301979442601,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.4
c2,1.1662927921870068,1.0,4.06174932630093,4.058408473303716,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-2
c2,1.0346755523250242,1.0,6.061844779910952,6.05556331957824,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-3
c2,444.565005186178,450.0,0.5044907044956305,0.5310887271107636,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.2
c2,13.257475046003263,63.0,1.2605028838732317,1.2635103916186607,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.6
c2,2.4814865586936747,3.0,2.0605749726258873,2.060729455334675,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.0
c2,1.5147975617922356,1.0,2.861425880005441,2.8604410470964585,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.4
c2,1.1651188313593548,1.0,4.061882342657086,4.059639482840712,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-2
c2,1.0343910082375216,1.0,6.062400207812441,6.056907308319608,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-3
c2,422.83510241188463,414.0,0.5118571004879485,0.5447129196822472,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.2
c2,13.362273204860406,62.0,1.2745747819505797,1.2796633699289968,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.6
c2,2.4906924114414575,3.0,2.077137776419575,2.078423425757927,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.0
c2,1.518283115342038,1.0,2.8792180164283,2.8789453896008745,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.4
c2,1.166354082698393,1.0,4.080585802656003,4.078744714656627,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-2
c2,1.0346709202162996,1.0,6.081582467803478,6.0763702987447905,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-3
