layer,effective dimensionality,80% variance,alpha,alpha_R,architecture,task,kind,source
c2,257.6441324698575,337.0,0.75523280316522,0.7081099058046848,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-0.2
c2,98.33678759804486,296.0,0.9018508107860038,0.8271434703689796,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-0.6
c2,26.74897051822575,228.0,1.0410233078465827,0.9444955740700953,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-1.0
c2,9.40171144333902,146.0,1.1618877613269627,1.0518706713670445,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-1.4
c2,3.8286150171707605,57.0,1.3062755933018082,1.192175642433851,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-2
c2,2.13945575698119,11.0,1.4957599489385778,1.40528349263878,AtlasNet_seed=0,SVD_adjCheck,wtA_-0.2,adjA_-3
c2,267.48961902593663,338.0,0.7466896055187017,0.7004603159929031,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-0.2
c2,110.48247616862133,298.0,0.8895911632391058,0.8172118066481032,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-0.6
c2,31.87459954314851,234.0,1.0264661196519569,0.9341192582249439,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-1.0
c2,11.520642016648308,156.0,1.1467903297676247,1.04310114715229,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-1.4
c2,4.792624026971845,72.0,1.29432913096008,1.1909426662329898,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-2
c2,2.7242159763285185,26.0,1.4995913582474139,1.4268664656576675,AtlasNet_seed=0,SVD_adjCheck,wtA_-1.0,adjA_-3
c2,223.57717520424146,267.0,0.8232404791697597,0.7959443258573933,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-0.2
c2,108.9334494730505,227.0,0.9743953912524487,0.9281414892840814,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-0.6
c2,36.941495493764286,170.0,1.1235363115467154,1.063487336814012,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-1.0
c2,14.378002752940203,106.0,1.257548890849525,1.190760882665805,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-1.4
c2,6.23620113281846,51.0,1.4255399821199541,1.3615574006698243,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-2
c2,3.6252415618358778,25.0,1.6566895215325064,1.622749016129985,AtlasNet_seed=0,SVD_adjCheck,wtA_-3,adjA_-3
