layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,257.5833478016374,337.0,0.7551514542504906,AtlasNet_0,SVD,wtA_-0.2,adjA_-0.2
c2,98.21394216711876,296.0,0.9018998649352207,AtlasNet_0,SVD,wtA_-0.2,adjA_-0.6
c2,26.700681549086976,228.0,1.0409571324283475,AtlasNet_0,SVD,wtA_-0.2,adjA_-1.0
c2,9.389068198260166,146.0,1.1622078265820048,AtlasNet_0,SVD,wtA_-0.2,adjA_-1.4
c2,3.828235708499386,57.0,1.3071204504839584,AtlasNet_0,SVD,wtA_-0.2,adjA_-2
c2,2.142713128842708,11.0,1.4963553369454143,AtlasNet_0,SVD,wtA_-0.2,adjA_-3
c2,541.5314862886327,486.0,0.39120610312294574,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.2
c2,251.58781966592596,386.0,0.6751852060650038,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.6
c2,32.45537779076562,168.0,1.0616376576687672,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.0
c2,6.861576678626234,19.0,1.4602457460430236,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.4
c2,2.480577568012181,3.0,2.0606986707660537,AtlasNet_0,SVD,wtA_-1.0,adjA_-2
c2,1.4161841370242436,1.0,3.061440092801097,AtlasNet_0,SVD,wtA_-1.0,adjA_-3
c2,223.40494828519988,267.0,0.8235130314759921,AtlasNet_0,SVD,wtA_-3,adjA_-0.2
c2,109.10569609351954,227.0,0.9743006459551028,AtlasNet_0,SVD,wtA_-3,adjA_-0.6
c2,37.17962218379365,169.0,1.1236218258101145,AtlasNet_0,SVD,wtA_-3,adjA_-1.0
c2,14.531195341726555,106.0,1.257914643840245,AtlasNet_0,SVD,wtA_-3,adjA_-1.4
c2,6.327563209114701,51.0,1.4260715708531615,AtlasNet_0,SVD,wtA_-3,adjA_-2
c2,3.6898655900179818,25.0,1.6585198221616346,AtlasNet_0,SVD,wtA_-3,adjA_-3
