layer,effective dimensionality,80% variance,alpha,alpha_R,architecture,task,kind,source
c2,52.571006357774415,269.0,1.347862608099869,0.8764603864486001,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-0.2
c2,51.97428076799061,262.0,1.3532131610966063,0.8840977173601506,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-0.6
c2,50.293384412540384,237.0,1.3752346526599073,0.9147026196406033,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-1.0
c2,47.53571462125348,193.0,1.4245745205375824,0.9815622611705108,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-1.4
c2,43.298339079271486,133.0,1.5382488437694737,1.1305062396504482,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-2
c2,39.140744919505345,92.0,1.7626440738806735,1.409084621631581,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-3
c2,74.55169259215653,278.0,1.317334329726893,0.8552224926899407,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-0.2
c2,73.7281161820767,271.0,1.3227754283282223,0.8632173249762447,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-0.6
c2,71.11662249670694,246.0,1.34558914040545,0.8941471931740932,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-1.0
c2,66.59229191627192,201.0,1.3955879814254948,0.9612746138567775,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-1.4
c2,59.5213567713276,138.0,1.5116643826054093,1.1109229552136144,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-2
c2,52.68644124921123,96.0,1.7370882807658259,1.3901299797907225,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-3
c2,101.6024913486815,213.0,1.3656726729686461,0.9612157944865686,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-0.2
c2,100.45348061230213,208.0,1.3718603338549005,0.9689324117152407,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-0.6
c2,96.63767115221493,192.0,1.3961094468228858,0.9984050114775866,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-1.0
c2,89.61641335893715,162.0,1.4480937605483624,1.0627100615860907,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-1.4
c2,78.49681375963475,119.0,1.5673736224903665,1.208618430062676,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-2
c2,68.07891876443408,87.0,1.7950781683514676,1.485278873370089,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-3
