layer,effective dimensionality,80% variance,alpha,alpha_R,architecture,task,kind,source
c2,558.7669079889238,496.0,0.3642755599950311,0.40600439187871984,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-0.2
c2,533.55278104368,476.0,0.38504363753012666,0.4263972392999383,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-0.6
c2,449.1323210092356,417.0,0.4586330538034944,0.5030742475134318,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-1.0
c2,327.65796595754693,324.0,0.5759940273056454,0.632664574541314,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-1.4
c2,207.43585092933372,199.0,0.7584324752564446,0.8438013058055297,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-2
c2,139.3711810620627,116.0,1.0286623730083124,1.1624170235636446,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-3
c2,558.1380151550802,496.0,0.3643954730318144,0.4071523240418389,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-0.2
c2,533.0633601330367,476.0,0.38458104549411976,0.42710672250906684,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-0.6
c2,449.1897270803376,418.0,0.4580452646646208,0.5031840339041932,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-1.0
c2,328.1977094401101,325.0,0.5754840321493868,0.6324465056351884,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-1.4
c2,207.9489393302982,200.0,0.7580408210222004,0.8432211810846535,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-2
c2,139.64259895666828,117.0,1.0280258325489233,1.1615732722062677,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-3
c2,504.75763551977553,451.0,0.3928129675330912,0.44223614209920237,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-0.2
c2,483.5132561414077,436.0,0.41187498630298364,0.461841999243106,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-0.6
c2,411.5869889275974,387.0,0.4853022588881605,0.5373332858819168,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-1.0
c2,305.32915384989514,307.0,0.6028224828272408,0.6650027333372398,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-1.4
c2,195.826161686136,195.0,0.7855918888940621,0.8733602116752056,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-2
c2,131.4438443178645,117.0,1.0557505573542967,1.1896673256262493,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-3
