layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,471.3159699355495,440.0,0.43007601863393735,AtlasNet_0,EP,wtA_-1.0,adjA_-0.2
c2,240.4195197525986,350.0,0.6910655206588615,AtlasNet_0,EP,wtA_-1.0,adjA_-0.6
c2,32.52361873228489,151.0,1.0775257093956538,AtlasNet_0,EP,wtA_-1.0,adjA_-1.0
c2,6.887284545987874,19.0,1.477009800009492,AtlasNet_0,EP,wtA_-1.0,adjA_-1.4
c2,2.4890930013899215,3.0,2.0787262267472846,AtlasNet_0,EP,wtA_-1.0,adjA_-2
c2,1.4192596024695876,1.0,3.080244623683092,AtlasNet_0,EP,wtA_-1.0,adjA_-3
c2,541.5314862886327,486.0,0.39120610312294574,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.2
c2,251.58781966592596,386.0,0.6751852060650038,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.6
c2,32.45537779076562,168.0,1.0616376576687672,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.0
c2,6.861576678626234,19.0,1.4602457460430236,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.4
c2,2.480577568012181,3.0,2.0606986707660537,AtlasNet_0,SVD,wtA_-1.0,adjA_-2
c2,1.4161841370242436,1.0,3.061440092801097,AtlasNet_0,SVD,wtA_-1.0,adjA_-3
