layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,400.675092966716,408.0,0.5253824797079051,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.2
c2,13.295134584319168,61.0,1.2763477968381862,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.6
c2,2.488878435420578,3.0,2.078308758101869,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.0
c2,1.5180929399767717,1.0,2.8799325658956416,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.4
c2,1.166383686051773,1.0,4.0807468404507645,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-2
c2,1.0346943902215813,1.0,6.080901634712117,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-3
c2,444.2825212090102,450.0,0.5048484272067146,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.2
c2,13.256028049614425,63.0,1.2607347704815408,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.6
c2,2.4811806063311472,3.0,2.0606233549742194,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.0
c2,1.5146814514918812,1.0,2.861346695004152,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.4
c2,1.1650807570642199,1.0,4.061864517541855,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-2
c2,1.0343827260796976,1.0,6.062423171229777,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-3
