n,variance,layer,architecture,task,kind,source
1,27955.619129774343,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
2,7088.6408917243925,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
3,6060.440943668243,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
4,5753.075957108844,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
5,4516.610264160706,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
6,3991.7459721285986,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
7,3473.251760559365,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
8,2858.035098737285,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
9,2613.1749208010956,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
10,2468.100340442225,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
11,2277.829095101114,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
12,2072.783549481972,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
13,1946.0032468340778,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
14,1850.7294298906418,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
15,1809.4363137158612,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
16,1711.5060075428526,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
17,1651.5158176965033,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
18,1636.5805610061846,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
19,1595.6012344198377,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
20,1554.678284834676,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
21,1485.268577765271,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
22,1467.6167217471595,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
23,1444.0459750918085,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
24,1434.14506470736,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
25,1387.9193407844039,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
26,1383.1185066030039,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
27,1358.0921496264843,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
28,1336.9871571629337,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
29,1318.183251722436,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
30,1301.6489150316374,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
31,1272.3798961055247,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
32,1259.4607888402124,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
33,1241.557952338949,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
34,1209.9266305953533,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
35,1195.8506433031698,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
36,1193.101245191286,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
37,1172.467212665248,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
38,1148.32310210506,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
39,1131.9422878867638,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
40,1129.4856829630237,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
41,1120.3660616955558,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
42,1114.1687732548912,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
43,1097.9168922975482,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
44,1085.946745993464,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
45,1081.9221187974292,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
46,1063.5985839964314,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
47,1046.3537414805844,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
48,1032.905011384494,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
49,1028.0601530075671,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
50,1020.7560954828541,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
51,1014.8953201049296,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
52,998.1254957586017,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
53,986.4004499955049,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
54,979.8790702566155,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
55,975.6187874162268,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
56,965.1347772488494,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
57,957.6577342330077,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
58,947.3720607580867,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
59,939.3746616919871,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
60,927.8036128985751,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
61,921.8517076804359,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
62,913.1814758815344,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
63,891.4561145093088,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
64,884.7616604326168,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
65,882.3301955185323,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
66,877.5705190320904,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
67,872.8777698852207,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
68,864.7158845996197,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
69,862.7999092699889,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
70,854.9811505045756,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
71,844.5930737558695,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
72,834.4253421046336,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
73,829.3364823994866,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
74,826.242306263092,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
75,820.0275493356869,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
76,813.9179937524068,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
77,810.0922651614246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
78,806.4283796840475,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
79,798.5974025889685,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
80,787.0239195083803,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
81,785.1892999259301,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
82,781.6957797937749,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
83,770.5808465598284,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
84,763.0949205468432,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
85,760.4158804680252,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
86,752.3701602423802,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
87,748.3846345450473,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
88,743.0545129972523,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
89,738.5323591258452,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
90,732.8193055301087,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
91,728.587147230346,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
92,725.0631295621617,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
93,713.1924970215091,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
94,712.4264883817071,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
95,707.7554889788375,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
96,700.6239840991186,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
97,698.2165219004186,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
98,697.1342134509562,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
99,684.233186051514,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
100,683.1005607929484,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
101,681.322692651737,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
102,674.6008812494159,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
103,671.4192978117371,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
104,664.5256018321526,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
105,660.9684369845152,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
106,659.4415498770487,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
107,656.7447120359953,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
108,650.1344757307969,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
109,648.4482583250872,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
110,643.1918893823223,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
111,638.1646567349947,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
112,636.4664101751034,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
113,631.1610685561818,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
114,626.8790267958775,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
115,621.3946897429139,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
116,618.21600983867,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
117,614.2584993414181,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
118,613.180747494056,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
119,610.3264495258748,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
120,601.6316165656838,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
121,600.6060014616962,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
122,595.8929400273076,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
123,590.8818046980318,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
124,583.7988845860993,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
125,582.2582870791177,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
126,580.7919312998067,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
127,579.0952087409537,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
128,572.3136449725127,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
129,571.1668014217458,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
130,569.4256074344438,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
131,563.8364327100811,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
132,558.8741154620209,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
