n,variance,layer,architecture,task,kind,source
1,431.24173,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
2,18.90083,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
3,16.28796,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
4,9.361531,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
5,6.516071,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
6,5.496656,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
7,3.4034877,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
8,1.8986791,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
9,1.7185242,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
10,1.5540825,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
11,1.3370972,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
12,1.1761377,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
13,0.99379784,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
14,0.96052474,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
15,0.8611611,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
16,0.81877095,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
17,0.7641757,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
18,0.75485545,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
19,0.7357058,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
20,0.7036751,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
21,0.6875038,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
22,0.66623414,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
23,0.6508552,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
24,0.6408505,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
25,0.60040456,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
26,0.5856801,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
27,0.5760778,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
28,0.54820734,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
29,0.5300454,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
30,0.5107053,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
31,0.5024432,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
32,0.48898914,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
33,0.48333392,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
34,0.47350332,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
35,0.46328777,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
36,0.4508712,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
37,0.44506252,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
38,0.44065687,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
39,0.43231916,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
40,0.4132466,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
41,0.40415582,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
42,0.39791337,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
43,0.38546798,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
44,0.38257387,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
45,0.3694518,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
46,0.35549685,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
47,0.351983,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
48,0.34554034,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
49,0.34131157,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
50,0.33563653,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
51,0.33362398,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
52,0.32692274,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
53,0.32450628,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
54,0.3222043,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
55,0.3135938,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
56,0.30985978,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
57,0.3021827,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
58,0.29982555,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
59,0.297792,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
60,0.29400653,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
61,0.29146054,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
62,0.28811687,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
63,0.2876556,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
64,0.28500205,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
65,0.27971342,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
66,0.279379,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
67,0.27804777,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
68,0.27319115,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
69,0.26899716,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
70,0.2683424,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
71,0.26608777,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
72,0.26242942,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
73,0.25956988,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
74,0.25882924,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
75,0.2566158,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
76,0.25380906,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
77,0.25109777,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
78,0.2497698,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
79,0.24757664,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
80,0.24663751,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
81,0.24549088,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
82,0.24344656,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
