n,variance,layer,architecture,task,kind,source
1,4.8772383,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
2,4.815004,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
3,4.621172,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
4,4.49683,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
5,4.4674363,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
6,4.362357,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
7,4.3507056,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
8,4.3224673,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
9,4.2561913,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
10,4.2417088,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
11,4.1437736,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
12,4.0682697,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
13,3.998397,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
14,3.982788,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
15,3.9265532,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
16,3.860883,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
17,3.8407052,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
18,3.8111444,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
19,3.7748802,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
20,3.7096968,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
21,3.6686625,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
22,3.6628795,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
23,3.652414,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
24,3.618632,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
25,3.5981832,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
26,3.5526385,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
27,3.5409968,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
28,3.5077634,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
29,3.429741,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
30,3.4150279,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
31,3.3896406,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
32,3.3666742,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
33,3.326308,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
34,3.3197143,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
35,3.27612,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
36,3.2479653,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
37,3.230342,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
38,3.2065651,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
39,3.180781,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
40,3.1606452,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
41,3.1356232,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
42,3.1092231,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
43,3.1054556,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
44,3.0851412,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
45,3.0494344,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
46,3.0355134,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
47,3.018225,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
48,3.0103629,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
49,2.9861345,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
50,2.9726708,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
51,2.9696314,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
52,2.947302,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
53,2.9007792,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
54,2.8965333,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
55,2.8769622,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
56,2.8460796,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
57,2.8331037,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
