n,variance,layer,architecture,task,kind,source
1,142223.17,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
2,35013.906,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
3,34560.555,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
4,27843.879,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
5,25290.344,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
6,21761.12,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
7,17313.082,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
8,13047.156,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
9,12734.887,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
10,12123.123,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
11,11224.456,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
12,10156.403,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
13,9764.018,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
14,9229.204,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
15,8640.866,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
16,8258.216,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
17,7812.871,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
18,7650.02,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
19,7235.221,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
20,6970.897,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
21,6751.2056,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
22,6654.601,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
23,6450.569,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
24,6381.4214,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
25,6353.495,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
26,6124.99,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
27,5915.689,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
28,5838.796,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
29,5706.5215,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
30,5528.445,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
31,5517.0776,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
