n,variance,layer,architecture,task,kind,source
1,2628.2285,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
2,113.969185,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
3,93.5695,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
4,56.226852,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
5,39.507538,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
6,30.9705,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
7,19.31094,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
8,11.037664,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
9,9.526245,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
10,8.215189,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
11,7.857163,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
12,6.923599,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
13,6.3685074,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
14,5.6114383,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
15,5.2762227,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
16,5.0398536,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
17,4.8323116,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
18,4.7682114,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
19,4.5060296,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
20,4.378395,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
21,3.973911,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
22,3.9481733,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
23,3.8267467,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
24,3.7857711,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
25,3.7224329,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
26,3.5765464,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
27,3.4931896,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
28,3.4166346,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
29,3.309156,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
30,3.2456644,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
31,3.1716838,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
32,3.0589993,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
33,2.873428,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
34,2.8442845,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
35,2.7715814,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
36,2.665544,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
37,2.6263797,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
38,2.5418816,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
39,2.4910798,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
40,2.4709566,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
41,2.4303184,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
42,2.3916516,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
43,2.3420098,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
44,2.2180643,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
45,2.197734,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
46,2.1389306,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
47,2.087766,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
48,2.049862,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
49,2.0362556,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
50,2.0081282,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
51,1.9737893,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
52,1.9337546,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
53,1.9150581,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
54,1.9044123,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
55,1.8834403,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
56,1.8536094,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
57,1.8356649,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
58,1.8107846,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
59,1.8004837,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
60,1.7555754,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
61,1.7476058,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
62,1.7449408,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
63,1.7338899,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
64,1.7123731,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
65,1.6636795,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
66,1.6596112,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
67,1.6513337,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
68,1.6327939,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
69,1.6299375,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
70,1.6118463,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
71,1.5908593,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
72,1.5825725,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
73,1.5731763,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
74,1.5632304,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
75,1.5536892,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
76,1.5310177,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
77,1.5245795,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
78,1.5083832,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
79,1.5007988,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
80,1.4850376,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
81,1.4807981,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
82,1.4713011,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
83,1.4556221,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
84,1.4410911,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
85,1.4317907,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
86,1.4242154,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
87,1.4225041,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
88,1.41669,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
89,1.4084653,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
90,1.4038781,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
91,1.393408,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
92,1.3917279,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
93,1.3760573,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
94,1.3725635,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
95,1.3663453,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
96,1.3541253,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
97,1.3479006,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
98,1.3432484,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
99,1.3296175,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
100,1.3277415,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
101,1.3212092,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
102,1.3158208,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
103,1.3122495,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
104,1.2929149,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
105,1.2875844,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
106,1.286722,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
107,1.2807648,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
108,1.2777623,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
109,1.2727084,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
110,1.2696317,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
111,1.2654119,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
112,1.2608881,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
113,1.2516364,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
114,1.2410833,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
115,1.2378155,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
116,1.2354573,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
117,1.2286059,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
118,1.2248015,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
119,1.2222564,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
120,1.218085,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
121,1.2140768,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
122,1.2103255,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
123,1.207015,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
124,1.2026554,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
125,1.1969175,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
126,1.1941555,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
127,1.1901169,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
128,1.1816895,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
129,1.1762307,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
130,1.1728246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
131,1.1666753,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
132,1.164574,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
133,1.1599585,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
134,1.1569597,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
135,1.1540929,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
136,1.1521658,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
137,1.147893,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
138,1.1427838,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
139,1.1385516,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
140,1.137943,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
141,1.1328163,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
142,1.1315131,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
