n,variance,layer,architecture,task,kind,source
1,142885.7396433752,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
2,39493.00840953605,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
3,36920.74382651073,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
4,28683.05662642873,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
5,26046.081499534685,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
6,24238.207070339846,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
7,18547.993180687547,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
8,16093.460627216338,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
9,15571.080549236023,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
10,14447.184624738702,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
11,13354.16406462773,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
12,12281.782720800458,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
13,11980.412511957895,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
14,11457.002505372082,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
15,11179.435611586798,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
16,10996.866177863734,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
17,9872.130681406497,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
18,9660.432914877865,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
19,9523.78358135301,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
20,9465.929540647856,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
21,9351.057778110411,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
22,9045.791114407111,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
23,8883.429906677778,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
24,8642.306341178039,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
25,8578.257659557621,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
26,8406.56900283955,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
27,8199.996233357711,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
28,8065.367000634589,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
29,7938.079175067622,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
30,7858.562494628174,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
31,7845.293494106047,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
32,7772.835281928622,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
33,7641.998141173604,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
34,7434.261192854345,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
35,7409.08283632339,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
36,7291.035434389269,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
37,7149.599084547594,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
38,7052.025427357821,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
39,6993.332903230662,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
40,6875.075878681001,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
41,6783.751337235959,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
42,6709.067861835145,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
43,6642.250099766739,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
44,6604.840674031967,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
45,6563.103234318833,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
46,6388.114000375848,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
47,6357.633554063949,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
48,6327.496857269126,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
49,6269.305374285319,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
50,6214.16384290784,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
51,6144.865327570957,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
52,6077.330487988871,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
53,6019.621828075752,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
54,5853.110859031287,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
55,5805.807165312434,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
56,5780.18400791387,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
57,5725.493064535347,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
58,5679.306860243322,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
59,5591.413867268038,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_NA
