n,variance,layer,architecture,task,kind,source
1,4.8384695,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
2,4.8194976,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
3,4.647287,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
4,4.515306,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
5,4.4974976,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
6,4.389951,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
7,4.378077,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
8,4.341047,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
9,4.269361,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
10,4.232454,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
11,4.1201205,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
12,4.065475,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
13,4.005889,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
14,3.987325,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
15,3.914791,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
16,3.8676238,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
17,3.8441224,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
18,3.8320844,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
19,3.8076866,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
20,3.7041693,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
21,3.6961048,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
22,3.689112,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
23,3.6579618,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
24,3.6370716,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
25,3.594221,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
26,3.5467923,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
27,3.53172,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
28,3.5030491,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
29,3.4450083,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
30,3.424896,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
31,3.3927112,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
32,3.3746164,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
33,3.3460846,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
34,3.3292243,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
35,3.297011,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
36,3.2542887,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
37,3.2506328,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
38,3.2464712,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
39,3.2066848,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
40,3.1909935,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
41,3.1435275,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
42,3.1285067,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
43,3.0994365,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
44,3.072275,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
45,3.0584333,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
46,3.0457535,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
47,3.0327895,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
48,3.0059018,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
49,2.9947102,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
50,2.9775712,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
51,2.954878,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
52,2.94043,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
53,2.9042974,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
54,2.8894103,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
55,2.8746896,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
56,2.8674018,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
57,2.8402429,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
58,2.826994,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
59,2.8087835,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
60,2.7844877,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
61,2.7775288,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
62,2.7625597,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
63,2.75571,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
64,2.7441683,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
65,2.728005,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
66,2.7079482,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
67,2.6839325,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
