n,variance,layer,architecture,task,kind,source
1,36139.484,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
2,9104.182,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
3,8696.57,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
4,7660.9014,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
5,7241.398,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
6,5721.958,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
7,4756.3564,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
8,3677.3054,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
9,3571.0134,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
10,3505.9795,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
11,3313.1472,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
12,2879.364,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
13,2818.101,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
14,2618.3438,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
15,2501.5525,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
16,2457.967,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
17,2274.278,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
18,2184.4585,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
19,2113.1282,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
20,2045.0208,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
21,1982.713,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
22,1944.9137,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
23,1911.5581,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
24,1860.2145,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
25,1849.0527,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
