layer,score,score_error,architecture,task,kind,source
c2,0.1801242842517084,0.00511891998224067,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_10
c2,0.18370227266594305,0.00496918728175166,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_50
c2,0.18715042907404839,0.004950543355387516,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_100
c2,0.18905445389149117,0.004776733787517318,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_500
c2,0.18919853770291878,0.004788788548540076,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_1000
c2,0.17876703469162467,0.004878277853769417,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_10
c2,0.1862317275920084,0.004950558639287497,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_50
c2,0.1875751460909772,0.004752383020349325,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_100
c2,0.19143671146027516,0.004716533044642803,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_500
c2,0.19090874676075933,0.004969387384841222,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_1000
c2,0.172762533636151,0.004913284321742761,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_10
c2,0.18457905056449508,0.0044249273046137435,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_50
c2,0.18657771526939498,0.0047020614512750455,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_100
c2,0.18692773958411005,0.00487805134604847,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_500
c2,0.18797807942474085,0.004886631411333701,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_1000
c2,0.16508179980482438,0.004614253638142702,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_10
c2,0.17293190594533053,0.0046969930343798,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_50
c2,0.17448311051925322,0.004744620856766242,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_100
c2,0.17671146396523776,0.004664981793295504,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_500
c2,0.17691988115181848,0.004690062217756597,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_1000
c2,0.14908709141936877,0.004741815781835991,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_10
c2,0.15418180337711718,0.0044208671143911886,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_50
c2,0.1548900010915426,0.0044115080571266565,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_100
c2,0.15544649752529094,0.004484580778613789,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_500
c2,0.15560176299378328,0.004429271239720591,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_1000
c2,0.12898670276279883,0.0037415443776376203,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_10
c2,0.13004973761973268,0.0036904799293413773,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_50
c2,0.1300659006779227,0.0036797218585111866,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_100
c2,0.1301251366050355,0.003674698216470505,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_500
c2,0.13009742931204715,0.0036773825769955736,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_1000
