layer,score,score_error,architecture,task,kind,source
c2,0.18604219425659269,0.005009402467240788,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.2
c2,0.18111464736728017,0.004825330136411127,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.6
c2,0.1400566738457098,0.004409779067287189,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.0
c2,0.12434235207619475,0.0042821790294473375,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.4
c2,0.11774063176612544,0.005493567839542201,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-2
c2,0.10922989980575616,0.005754306923925158,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-3
c2,0.18601154008240392,0.0046502366518614184,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.2
c2,0.1743587573380858,0.005246972981960329,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.6
c2,0.14138357341221586,0.0048662338268820795,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.0
c2,0.1295151879039174,0.006071111599755846,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.4
c2,0.1191758536372546,0.005669131968181456,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-2
c2,0.1128331263238542,0.005885396828982368,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-3
c2,0.1317217963074405,0.005182297637217716,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.2
c2,0.12182853976315941,0.003645303490640757,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.6
c2,0.09320654592220652,0.0032222504764014355,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.0
c2,0.07378879204297127,0.003815797472695459,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.4
c2,0.06688698093127522,0.0040629188675988595,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-2
c2,0.0633780300050401,0.005131184785250764,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-3
