layer,score,score_error,architecture,task,kind,source
c2,0.19959966036709223,0.0045803872791253105,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-0.2
c2,0.17260693494603443,0.004303011983122073,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-0.6
c2,0.12659458174342245,0.005211332124077432,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-1.0
c2,0.07698099517508854,0.007099109559449893,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-1.4
c2,0.027165699187079676,0.008336439567558704,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-2
c2,0.004063036379023475,0.007474446078753336,AtlasNet_seed=0,adjSVD_rows2,wtA_-0.2,adjA_-3
c2,0.1977194728466717,0.005532284582885186,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-0.2
c2,0.17261277811689765,0.005277548274869759,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-0.6
c2,0.1286823643792763,0.006354176823064395,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-1.0
c2,0.07800202145424202,0.008931197287193401,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-1.4
c2,0.027033326796399738,0.009955574933588085,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-2
c2,0.004157653864717778,0.007237994952388475,AtlasNet_seed=0,adjSVD_rows2,wtA_-1.0,adjA_-3
c2,0.14147886102971,0.003767415162437047,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-0.2
c2,0.12392608285553895,0.005154995533691938,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-0.6
c2,0.0936079195357165,0.006255117672856972,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-1.0
c2,0.05499744545657741,0.007716162556573537,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-1.4
c2,0.019656155519455577,0.007881428898840902,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-2
c2,0.0030530865853915165,0.005269777706535153,AtlasNet_seed=0,adjSVD_rows2,wtA_-3,adjA_-3
