layer,score,score_error,architecture,task,kind,source
c2,0.1751053436902362,0.005962395356883448,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-0.2
c2,0.15465172865658483,0.005942245731958692,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-0.6
c2,0.11236010414748068,0.0073198179465002984,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-1.0
c2,0.06663907374992438,0.006582893412970499,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-1.4
c2,0.02515063940510602,0.006867720953552316,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-2
c2,0.006578268944133837,0.004728460560375727,AtlasNet_seed=0,adj_EProws,wtA_-0.2,adjA_-3
c2,0.17559506536942254,0.005281809525087406,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-0.2
c2,0.1536233250861302,0.00563302928949439,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-0.6
c2,0.11091837541563221,0.00733420435922485,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-1.0
c2,0.06803609909262111,0.006861262026756031,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-1.4
c2,0.026416686801514194,0.006407666805520453,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-2
c2,0.007713445420817544,0.004252574446919644,AtlasNet_seed=0,adj_EProws,wtA_-1.0,adjA_-3
c2,0.12519575341187328,0.00465771896873738,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-0.2
c2,0.11030697547868133,0.004982202159469347,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-0.6
c2,0.08083615070454715,0.005872973839642709,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-1.0
c2,0.05006493127990662,0.005668279642189348,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-1.4
c2,0.019594164420663578,0.007507336900738623,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-2
c2,0.005883712397599308,0.005233900906515966,AtlasNet_seed=0,adj_EProws,wtA_-3,adjA_-3
