layer,score,score_error,architecture,task,kind,source
c2,0.1355754117921303,0.004601208406369741,AtlasNet_0,EP,wtA_-1.0,adjA_-0.2
c2,0.13423013139438725,0.0053334549256574175,AtlasNet_0,EP,wtA_-1.0,adjA_-0.6
c2,0.12583073648403084,0.005118874102433567,AtlasNet_0,EP,wtA_-1.0,adjA_-1.0
c2,0.11419248768656916,0.005543483912528493,AtlasNet_0,EP,wtA_-1.0,adjA_-1.4
c2,0.09246447894582842,0.006501916878198463,AtlasNet_0,EP,wtA_-1.0,adjA_-2
c2,0.07164536600263702,0.004984010231158766,AtlasNet_0,EP,wtA_-1.0,adjA_-3
c2,0.18177630804564193,0.005519500281290755,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.2
c2,0.18269961074547483,0.0054821833681030375,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.6
c2,0.1830028644651985,0.004529275087233634,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.0
c2,0.1617884633370116,0.004125864453411923,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.4
c2,0.13995540666756237,0.004090363823722732,AtlasNet_0,SVD,wtA_-1.0,adjA_-2
c2,0.12461784019992725,0.005401531885708909,AtlasNet_0,SVD,wtA_-1.0,adjA_-3
