layer,score,score_error,architecture,task,kind,source
c2,0.13683937788362655,0.005457809417824028,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.2
c2,0.12213712536453361,0.006977351330670141,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.6
c2,0.09344052545906882,0.0058459971986505035,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.0
c2,0.07598882734445389,0.0050881429258277,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.4
c2,0.0626528413668654,0.004602786244882298,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-2
c2,0.05574134201052026,0.0038777272918640443,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-3
c2,0.18803976959827665,0.0048951622251244414,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.2
c2,0.1764361228063604,0.004269442224910037,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.6
c2,0.14049981820458368,0.00491527980861338,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.0
c2,0.12749626992548826,0.005353442530137013,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.4
c2,0.11820093066549626,0.0056451373311104235,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-2
c2,0.11221703598040544,0.006149432188862722,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-3
