layer,score,score_error,architecture,task,kind,source
c2,0.007801067093482829,0.00018327937130655566,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_10
c2,0.007191695917904682,0.000162551015338453,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_50
c2,0.007843034742159728,0.00014353057149033924,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_100
c2,0.007789461133985045,0.00015033612630067998,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_500
c2,0.007571281352455634,0.00015267095336875497,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,weightPCs_1000
c2,0.007068106859672077,0.00017889929902936772,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_10
c2,0.007087411943088355,0.00016661193702263951,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_50
c2,0.007596246411821744,0.0001520303162312647,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_100
c2,0.007737496161884829,0.0001510854482310738,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_500
c2,0.007627587247040212,0.00015190151373995365,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,weightPCs_1000
c2,0.006068972782344235,0.0001726497039306155,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_10
c2,0.006550435076511511,0.00016865728402554845,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_50
c2,0.006909668647733215,0.0001622383604411704,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_100
c2,0.007226912621196926,0.0001565311446178715,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_500
c2,0.007276238652123194,0.00015388765010318769,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,weightPCs_1000
c2,0.005013037906482251,0.00016573467872992506,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_10
c2,0.005478647179885205,0.00016611414885782884,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_50
c2,0.00566494429370302,0.00016405749292410098,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_100
c2,0.005896360456044047,0.00016289576628217883,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_500
c2,0.005948301895283636,0.00016292069298178352,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,weightPCs_1000
c2,0.003635966240438668,0.00016015649640759114,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_10
c2,0.0038187678589441314,0.00016048641107174207,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_50
c2,0.003846130435654855,0.00016034397952308284,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_100
c2,0.003875919115940026,0.0001598916437513117,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_500
c2,0.0038794316205328296,0.0001599410491271477,AtlasNet_seed=0,SVD_scaled=False,a_-2,weightPCs_1000
c2,0.002386778963545649,0.00016281081834681275,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_10
c2,0.002404248077581876,0.00016307474001763683,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_50
c2,0.002404431068402694,0.00016300845255115619,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_100
c2,0.0024048449038296376,0.00016299417921338276,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_500
c2,0.002404742857824748,0.00016304056423099028,AtlasNet_seed=0,SVD_scaled=False,a_-3,weightPCs_1000
