layer,score,score_error,architecture,task,kind,source
c2,0.005077620069205353,0.0001392974668632803,AtlasNet_seed=0,SVD_scaled=True,a_-0.2,pcs_1000
c2,0.005074836268186561,0.00013858837540407359,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,pcs_1000
c2,0.005072857846453988,0.0001360469796093218,AtlasNet_seed=0,SVD_scaled=True,a_-0.6,pcs_1000
c2,0.005072431097266848,0.00013662459765390142,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,pcs_1000
c2,0.005049988874940803,0.00012777402629247578,AtlasNet_seed=0,SVD_scaled=True,a_-1.0,pcs_1000
c2,0.0050508775201217465,0.00012701285204625476,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,pcs_1000
c2,0.004263404408948541,0.00011896785257975602,AtlasNet_seed=0,SVD_scaled=True,a_-1.4,pcs_1000
c2,0.004262959645248277,0.00011868981493924768,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,pcs_1000
c2,0.0028819307923590065,0.00012325492907353566,AtlasNet_seed=0,SVD_scaled=True,a_-2,pcs_1000
c2,0.002888139796565071,0.0001238319324432782,AtlasNet_seed=0,SVD_scaled=False,a_-2,pcs_1000
c2,0.001766167883812291,0.00011394869441938647,AtlasNet_seed=0,SVD_scaled=True,a_-3,pcs_1000
c2,0.0017654934777958816,0.00011356611912153229,AtlasNet_seed=0,SVD_scaled=False,a_-3,pcs_1000
