layer,score,score_error,architecture,task,kind,source
c2,0.006938511109512713,0.00017136941303223075,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-0.2
c2,0.014258571992155718,0.00022686983334006068,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-0.6
c2,0.014162300218957539,0.00027037539110628874,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-1.0
c2,0.011118101642127416,0.0003064303560955279,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-1.4
c2,0.008135401972422445,0.00033659629488340723,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-2
c2,0.005818487678916576,0.00035881900510653387,AtlasNet_seed=0,adj_EP,wtA_-0.2,adjA_-3
c2,0.007058438586901241,0.00016674838273949538,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-0.2
c2,0.014856830042838325,0.00022773197282197673,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-0.6
c2,0.014662445700323594,0.0002714896035535358,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-1.0
c2,0.011465257893701742,0.00028062672285472727,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-1.4
c2,0.008088202456787458,0.00032166138546124777,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-2
c2,0.005607519477287126,0.00034124436150182434,AtlasNet_seed=0,adj_EP,wtA_-1.0,adjA_-3
c2,0.0023625144444912264,0.00012334085669266388,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-0.2
c2,0.00477811612198155,0.0002132044084738324,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-0.6
c2,0.0048578209826615005,0.0002712016609354675,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-1.0
c2,0.003630883334514974,0.00028290024456920207,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-1.4
c2,0.0024522277688919366,0.0002855052374193412,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-2
c2,0.0015920419127842165,0.0002853271438455736,AtlasNet_seed=0,adj_EP,wtA_-3,adjA_-3
