layer,score,score_error,architecture,task,kind,source
c2,0.010541876460202698,0.00018448372485162833,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.2
c2,0.012609583288917805,0.000277630765815812,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-0.6
c2,0.00812390554361744,0.00032263924497982316,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.0
c2,0.006106119599085432,0.00034859517448832607,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-1.4
c2,0.00484380530336379,0.00037066035949982664,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-2
c2,0.004153095756376542,0.00038412121304036445,AtlasNet_seed=0,SVD_adj_EP,wtA_-0.2,adjA_-3
c2,0.010948352589341,0.0001613961150619158,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.2
c2,0.013067306674928753,0.0002653009186470366,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-0.6
c2,0.007956982822195022,0.0003234934624281844,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.0
c2,0.005801755860552176,0.000350721193256059,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-1.4
c2,0.004538361592458742,0.0003669938652935295,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-2
c2,0.0038444457565617383,0.00037075285223538726,AtlasNet_seed=0,SVD_adj_EP,wtA_-1.0,adjA_-3
c2,0.0034337788641646736,0.00015549625062856947,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.2
c2,0.00406195249040217,0.00026300871929101007,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-0.6
c2,0.002378438898735203,0.00025225220058741263,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.0
c2,0.0016865190629991953,0.00025479853185941944,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-1.4
c2,0.0012482382990768892,0.00026972657077936797,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-2
c2,0.0009999630510946892,0.0002854972295514448,AtlasNet_seed=0,SVD_adj_EP,wtA_-3,adjA_-3
