layer,score,score_error,architecture,task,kind,source
c2,0.011198326961166648,0.00016353436346882943,AtlasNet_0,SVD,wtA_-0.2,adjA_-0.2
c2,0.011864153618462785,0.00015512437587251936,AtlasNet_0,SVD,wtA_-0.2,adjA_-0.6
c2,0.00687753687096337,0.00016171063494926,AtlasNet_0,SVD,wtA_-0.2,adjA_-1.0
c2,0.0038834118241242808,0.0001946752366241001,AtlasNet_0,SVD,wtA_-0.2,adjA_-1.4
c2,0.0021576281928518707,0.0002313374059227962,AtlasNet_0,SVD,wtA_-0.2,adjA_-2
c2,0.0011515729523096784,0.00024986913619504705,AtlasNet_0,SVD,wtA_-0.2,adjA_-3
c2,0.007173487534411531,0.00016449073946738193,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.2
c2,0.01517188203410027,0.00020959975202632883,AtlasNet_0,SVD,wtA_-1.0,adjA_-0.6
c2,0.015054029637288384,0.00024128958582845684,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.0
c2,0.011580948906843391,0.0002757499605453627,AtlasNet_0,SVD,wtA_-1.0,adjA_-1.4
c2,0.008206970013582325,0.0003071893425995392,AtlasNet_0,SVD,wtA_-1.0,adjA_-2
c2,0.005724083944958046,0.0003259039398990995,AtlasNet_0,SVD,wtA_-1.0,adjA_-3
c2,0.003089281977166132,0.0001301318859991002,AtlasNet_0,SVD,wtA_-3,adjA_-0.2
c2,0.003140501715095632,0.00016461737982983744,AtlasNet_0,SVD,wtA_-3,adjA_-0.6
c2,0.0016419791669611587,0.0001814987942803962,AtlasNet_0,SVD,wtA_-3,adjA_-1.0
c2,0.000723689558019155,0.00018320377869173859,AtlasNet_0,SVD,wtA_-3,adjA_-1.4
c2,0.00029364894242283273,0.0001886112012208854,AtlasNet_0,SVD,wtA_-3,adjA_-2
c2,0.00011754582205283023,0.0001791423922885493,AtlasNet_0,SVD,wtA_-3,adjA_-3
