layer,score,score_error,architecture,task,kind,source
c2,0.004472811206201376,0.00014095579317053683,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.2
c2,0.005435473318507704,0.00020957540469203342,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-0.6
c2,0.0036162394022313314,0.00024299986368701257,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.0
c2,0.002937369542993641,0.0002641617883632278,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-1.4
c2,0.0025653567399070106,0.00027839253224397613,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-2
c2,0.0023529348992928772,0.0002867150111462489,AtlasNet_0,EP_1.0,wtA_-1.0,nwA_-3
c2,0.010920038429292967,0.00018928049239031367,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.2
c2,0.013186604399913733,0.00025994855145841113,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-0.6
c2,0.008129623377416191,0.00030017215030813684,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.0
c2,0.0059549762805409375,0.00032461780209361166,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-1.4
c2,0.004617335869398134,0.0003282746050393094,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-2
c2,0.003918021707512007,0.000327486124341219,AtlasNet_0,SVD_F,wtA_-1.0,nwA_-3
