layer,score,score_error,architecture,task,kind,source
c2,0.042079290539911066,0.007435886664656772,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_1000
c2,0.042079290539911066,0.007435886664656772,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_1000
c2,0.042079290539911066,0.007435886664656772,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_1000
c2,0.042079290539911066,0.007435886664656772,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_1000
c2,0.042079290539911066,0.007435886664656772,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_1000
c2,0.04220360842641034,0.007003785715866176,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_1000
c2,0.04220360842641034,0.007003785715866176,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_1000
c2,0.04220360842641034,0.007003785715866176,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_1000
c2,0.04220360842641034,0.007003785715866176,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_1000
c2,0.04220360842641034,0.007003785715866176,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_1000
c2,0.04135454050307579,0.007196088918829436,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_1000
c2,0.04135454050307579,0.007196088918829436,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_1000
c2,0.04135454050307579,0.007196088918829436,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_1000
c2,0.04135454050307579,0.007196088918829436,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_1000
c2,0.04135454050307579,0.007196088918829436,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_1000
c2,0.04097277749934228,0.006857558288232333,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_1000
c2,0.04097277749934228,0.006857558288232333,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_1000
c2,0.04097277749934228,0.006857558288232333,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_1000
c2,0.04097277749934228,0.006857558288232333,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_1000
c2,0.04097277749934228,0.006857558288232333,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_1000
c2,0.04119272858250871,0.006799412607723939,AtlasNet_seed=0,EP,wtA_-2,wtPCs_1000
c2,0.04119272858250871,0.006799412607723939,AtlasNet_seed=0,EP,wtA_-2,wtPCs_1000
c2,0.04119272858250871,0.006799412607723939,AtlasNet_seed=0,EP,wtA_-2,wtPCs_1000
c2,0.04119272858250871,0.006799412607723939,AtlasNet_seed=0,EP,wtA_-2,wtPCs_1000
c2,0.04119272858250871,0.006799412607723939,AtlasNet_seed=0,EP,wtA_-2,wtPCs_1000
c2,0.04171818768037246,0.006796962829067127,AtlasNet_seed=0,EP,wtA_-3,wtPCs_1000
c2,0.04171818768037246,0.006796962829067127,AtlasNet_seed=0,EP,wtA_-3,wtPCs_1000
c2,0.04171818768037246,0.006796962829067127,AtlasNet_seed=0,EP,wtA_-3,wtPCs_1000
c2,0.04171818768037246,0.006796962829067127,AtlasNet_seed=0,EP,wtA_-3,wtPCs_1000
c2,0.04171818768037246,0.006796962829067127,AtlasNet_seed=0,EP,wtA_-3,wtPCs_1000
