layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_NA
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_NA
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_NA
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_NA
c2,24.022608465382618,78.0,2.3788206124083477,AtlasNet_seed=0,EP,wtA_-0.2,wtPCs_NA
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_NA
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_NA
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_NA
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_NA
c2,23.46720595986828,77.0,2.3851956380343196,AtlasNet_seed=0,EP,wtA_-0.6,wtPCs_NA
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_NA
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_NA
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_NA
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_NA
c2,23.032685767567852,76.0,2.396077026623991,AtlasNet_seed=0,EP,wtA_-1.0,wtPCs_NA
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_NA
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_NA
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_NA
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_NA
c2,22.678618320485445,74.0,2.4099002794516693,AtlasNet_seed=0,EP,wtA_-1.4,wtPCs_NA
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_seed=0,EP,wtA_-2,wtPCs_NA
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_seed=0,EP,wtA_-2,wtPCs_NA
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_seed=0,EP,wtA_-2,wtPCs_NA
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_seed=0,EP,wtA_-2,wtPCs_NA
c2,22.242006171450587,72.0,2.4375845379135406,AtlasNet_seed=0,EP,wtA_-2,wtPCs_NA
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_seed=0,EP,wtA_-3,wtPCs_NA
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_seed=0,EP,wtA_-3,wtPCs_NA
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_seed=0,EP,wtA_-3,wtPCs_NA
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_seed=0,EP,wtA_-3,wtPCs_NA
c2,21.692684458931502,70.0,2.495820765341903,AtlasNet_seed=0,EP,wtA_-3,wtPCs_NA
