layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,107.88881758023457,335.0,0.7719615629696305,AtlasNet,SVD-OLS-0.2,Untrained,PyTorch
mp2,35.98307456788304,298.0,0.8950742378108046,AtlasNet,SVD-OLS-0.2,Untrained,PyTorch
c2,91.88603396518475,330.0,0.7865648691276218,AtlasNet,SVD-OLS0,Untrained,PyTorch
mp2,34.56851438886828,296.0,0.8968178524095606,AtlasNet,SVD-OLS0,Untrained,PyTorch
c2,95.88210876330027,329.0,0.782250308257484,AtlasNet,SVD-OLS3,Untrained,PyTorch
mp2,37.44673266507115,296.0,0.8969234716303818,AtlasNet,SVD-OLS3,Untrained,PyTorch
c2,86.51897591418903,328.0,0.7925064455843177,AtlasNet,SVD-OLS-0.4,Untrained,PyTorch
mp2,33.79228212002099,293.0,0.9005105800511718,AtlasNet,SVD-OLS-0.4,Untrained,PyTorch
c2,83.81445952847803,326.0,0.7958466695701979,AtlasNet,SVD-OLS-0.5,Untrained,PyTorch
mp2,33.38759297492869,291.0,0.9035267872080404,AtlasNet,SVD-OLS-0.5,Untrained,PyTorch
c2,80.33727859852794,324.0,0.8004414193701571,AtlasNet,SVD-OLS-0.6,Untrained,PyTorch
mp2,32.81233384579932,288.0,0.9076567892693135,AtlasNet,SVD-OLS-0.6,Untrained,PyTorch
c2,76.04832250300184,321.0,0.8069735795007691,AtlasNet,SVD-OLS-0.7,Untrained,PyTorch
mp2,32.02001570398852,284.0,0.9132354217930819,AtlasNet,SVD-OLS-0.7,Untrained,PyTorch
c2,71.04730199636681,317.0,0.8152163778465051,AtlasNet,SVD-OLS-0.8,Untrained,PyTorch
mp2,30.9793489955312,277.0,0.9208263157412632,AtlasNet,SVD-OLS-0.8,Untrained,PyTorch
c2,65.60554873799879,311.0,0.8259322839843353,AtlasNet,SVD-OLS-0.9,Untrained,PyTorch
mp2,29.70955870327428,269.0,0.9305710779417098,AtlasNet,SVD-OLS-0.9,Untrained,PyTorch
c2,60.09673595629988,303.0,0.8385690045877037,AtlasNet,SVD-OLS-1.0,Untrained,PyTorch
mp2,28.274733165027847,258.0,0.9431398149659304,AtlasNet,SVD-OLS-1.0,Untrained,PyTorch
c2,50.30387478664346,283.0,0.8684812398736086,AtlasNet,SVD-OLS-1.2,Untrained,PyTorch
mp2,25.33786946940373,231.0,0.9730171157388269,AtlasNet,SVD-OLS-1.2,Untrained,PyTorch
c2,43.21294279417231,260.0,0.9008098706818667,AtlasNet,SVD-OLS-1.4,Untrained,PyTorch
mp2,22.86493605783354,201.0,1.0049470865304364,AtlasNet,SVD-OLS-1.4,Untrained,PyTorch
c2,38.537085143505514,238.0,0.9324844701203995,AtlasNet,SVD-OLS-1.6,Untrained,PyTorch
mp2,21.038672944878268,174.0,1.0363416921075512,AtlasNet,SVD-OLS-1.6,Untrained,PyTorch
c2,35.429372578090906,220.0,0.9604266986349435,AtlasNet,SVD-OLS-1.8,Untrained,PyTorch
mp2,19.715461311873504,153.0,1.0661673784416792,AtlasNet,SVD-OLS-1.8,Untrained,PyTorch
c2,33.24596065401316,204.0,0.9857260404487539,AtlasNet,SVD-OLS-2,Untrained,PyTorch
mp2,18.71833875657733,136.0,1.0948917064923367,AtlasNet,SVD-OLS-2,Untrained,PyTorch
c2,31.61232783841717,191.0,1.0091378879813198,AtlasNet,SVD-OLS-2.2,Untrained,PyTorch
mp2,17.929639595436477,123.0,1.122547539093518,AtlasNet,SVD-OLS-2.2,Untrained,PyTorch
c2,30.326050417132386,181.0,1.030883380174087,AtlasNet,SVD-OLS-2.4,Untrained,PyTorch
mp2,17.2839303284651,113.0,1.149466195253089,AtlasNet,SVD-OLS-2.4,Untrained,PyTorch
c2,29.278563387542373,172.0,1.0512953527802742,AtlasNet,SVD-OLS-2.6,Untrained,PyTorch
mp2,16.74237581130219,105.0,1.176080049403202,AtlasNet,SVD-OLS-2.6,Untrained,PyTorch
c2,28.407638179297912,165.0,1.0703200912591857,AtlasNet,SVD-OLS-2.8,Untrained,PyTorch
mp2,16.28346056204494,98.0,1.2018715837301097,AtlasNet,SVD-OLS-2.8,Untrained,PyTorch
c2,27.67539962343325,159.0,1.0887996356353717,AtlasNet,SVD-OLS-3,Untrained,PyTorch
mp2,15.893227780967111,93.0,1.2274613882824197,AtlasNet,SVD-OLS-3,Untrained,PyTorch
