layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,105.55087622943279,334.0,0.7738051279438148,AtlasNet,SVD.scaled_-0.1,Untrained,PyTorch
mp2,35.50968463365079,297.0,0.8961954133585763,AtlasNet,SVD.scaled_-0.1,Untrained,PyTorch
c2,90.03207077082828,329.0,0.7885521033068429,AtlasNet,SVD.scaled_-0.2,Untrained,PyTorch
mp2,34.28067052226641,296.0,0.8977497189740485,AtlasNet,SVD.scaled_-0.2,Untrained,PyTorch
c2,88.54684147093688,329.0,0.7901406145047136,AtlasNet,SVD.scaled_-0.3,Untrained,PyTorch
mp2,34.0760947570752,295.0,0.8988186784930937,AtlasNet,SVD.scaled_-0.3,Untrained,PyTorch
c2,86.51897595257044,328.0,0.79250644557922,AtlasNet,SVD.scaled_-0.4,Untrained,PyTorch
mp2,33.792282355287746,293.0,0.9005105796757715,AtlasNet,SVD.scaled_-0.4,Untrained,PyTorch
c2,83.81445948035635,326.0,0.7958466696193564,AtlasNet,SVD.scaled_-0.5,Untrained,PyTorch
mp2,33.387592996603274,291.0,0.9035267869697153,AtlasNet,SVD.scaled_-0.5,Untrained,PyTorch
c2,80.33727895142576,324.0,0.8004414189385572,AtlasNet,SVD.scaled_-0.6,Untrained,PyTorch
mp2,32.812333881621086,288.0,0.9076567890384654,AtlasNet,SVD.scaled_-0.6,Untrained,PyTorch
c2,76.04832247200129,321.0,0.8069735794194247,AtlasNet,SVD.scaled_-0.7,Untrained,PyTorch
mp2,32.020015655662746,284.0,0.913235421453823,AtlasNet,SVD.scaled_-0.7,Untrained,PyTorch
c2,71.04730208083313,317.0,0.8152163779211138,AtlasNet,SVD.scaled_-0.8,Untrained,PyTorch
mp2,30.979348892860532,277.0,0.9208263160224963,AtlasNet,SVD.scaled_-0.8,Untrained,PyTorch
c2,65.60554875423985,311.0,0.8259322840044577,AtlasNet,SVD.scaled_-0.9,Untrained,PyTorch
mp2,29.709558646560904,269.0,0.9305710779700433,AtlasNet,SVD.scaled_-0.9,Untrained,PyTorch
c2,60.09673618814751,303.0,0.8385690042819871,AtlasNet,SVD.scaled_-1.0,Untrained,PyTorch
mp2,28.274733278034454,258.0,0.943139815122062,AtlasNet,SVD.scaled_-1.0,Untrained,PyTorch
c2,54.90566776279003,294.0,0.8526551743332456,AtlasNet,SVD.scaled_-1.1,Untrained,PyTorch
mp2,26.780756643067082,245.0,0.9575504572064139,AtlasNet,SVD.scaled_-1.1,Untrained,PyTorch
c2,50.303874806710176,283.0,0.8684812396147054,AtlasNet,SVD.scaled_-1.2,Untrained,PyTorch
mp2,25.33786945310513,231.0,0.9730171156507831,AtlasNet,SVD.scaled_-1.2,Untrained,PyTorch
c2,46.410585458302165,272.0,0.8845248878909086,AtlasNet,SVD.scaled_-1.3,Untrained,PyTorch
mp2,24.020943219073953,216.0,0.9892109729214486,AtlasNet,SVD.scaled_-1.3,Untrained,PyTorch
c2,43.21294278063042,260.0,0.9008098704944233,AtlasNet,SVD.scaled_-1.4,Untrained,PyTorch
mp2,22.864936114719256,201.0,1.004947086021821,AtlasNet,SVD.scaled_-1.4,Untrained,PyTorch
c2,40.62772520214285,249.0,0.9169570749719163,AtlasNet,SVD.scaled_-1.5,Untrained,PyTorch
mp2,21.876799854704085,187.0,1.0207349918942545,AtlasNet,SVD.scaled_-1.5,Untrained,PyTorch
c2,33.2459606249434,204.0,0.9857260400270035,AtlasNet,SVD.scaled_-2,Untrained,PyTorch
mp2,18.718338753947027,136.0,1.0948917066847803,AtlasNet,SVD.scaled_-2,Untrained,PyTorch
c2,27.675399609424343,159.0,1.0887996358132879,AtlasNet,SVD.scaled_-3,Untrained,PyTorch
mp2,15.893227798748418,93.0,1.2274613878200231,AtlasNet,SVD.scaled_-3,Untrained,PyTorch
