n,variance,layer,architecture,task,kind,source
1,431.24173,c2,AtlasNet,f_1000,Untrained,PyTorch
2,18.90084,c2,AtlasNet,f_1000,Untrained,PyTorch
3,16.287962,c2,AtlasNet,f_1000,Untrained,PyTorch
4,9.361531,c2,AtlasNet,f_1000,Untrained,PyTorch
5,6.516076,c2,AtlasNet,f_1000,Untrained,PyTorch
6,5.49666,c2,AtlasNet,f_1000,Untrained,PyTorch
7,3.40349,c2,AtlasNet,f_1000,Untrained,PyTorch
8,1.8986783,c2,AtlasNet,f_1000,Untrained,PyTorch
9,1.7185249,c2,AtlasNet,f_1000,Untrained,PyTorch
10,1.554082,c2,AtlasNet,f_1000,Untrained,PyTorch
11,1.3370976,c2,AtlasNet,f_1000,Untrained,PyTorch
12,1.176138,c2,AtlasNet,f_1000,Untrained,PyTorch
13,0.9937971,c2,AtlasNet,f_1000,Untrained,PyTorch
14,0.96052504,c2,AtlasNet,f_1000,Untrained,PyTorch
15,0.8611611,c2,AtlasNet,f_1000,Untrained,PyTorch
16,0.81877065,c2,AtlasNet,f_1000,Untrained,PyTorch
17,0.7641756,c2,AtlasNet,f_1000,Untrained,PyTorch
18,0.7548559,c2,AtlasNet,f_1000,Untrained,PyTorch
19,0.735706,c2,AtlasNet,f_1000,Untrained,PyTorch
20,0.7036748,c2,AtlasNet,f_1000,Untrained,PyTorch
21,0.68750393,c2,AtlasNet,f_1000,Untrained,PyTorch
22,0.66623414,c2,AtlasNet,f_1000,Untrained,PyTorch
23,0.6508554,c2,AtlasNet,f_1000,Untrained,PyTorch
24,0.6408507,c2,AtlasNet,f_1000,Untrained,PyTorch
25,0.6004041,c2,AtlasNet,f_1000,Untrained,PyTorch
26,0.58568007,c2,AtlasNet,f_1000,Untrained,PyTorch
27,0.57607806,c2,AtlasNet,f_1000,Untrained,PyTorch
28,0.5482076,c2,AtlasNet,f_1000,Untrained,PyTorch
29,0.53004557,c2,AtlasNet,f_1000,Untrained,PyTorch
30,0.51070553,c2,AtlasNet,f_1000,Untrained,PyTorch
31,0.5024426,c2,AtlasNet,f_1000,Untrained,PyTorch
32,0.4889893,c2,AtlasNet,f_1000,Untrained,PyTorch
33,0.48333392,c2,AtlasNet,f_1000,Untrained,PyTorch
34,0.4735035,c2,AtlasNet,f_1000,Untrained,PyTorch
35,0.46328798,c2,AtlasNet,f_1000,Untrained,PyTorch
36,0.4508712,c2,AtlasNet,f_1000,Untrained,PyTorch
37,0.44506252,c2,AtlasNet,f_1000,Untrained,PyTorch
38,0.44065687,c2,AtlasNet,f_1000,Untrained,PyTorch
39,0.43231916,c2,AtlasNet,f_1000,Untrained,PyTorch
