n,variance,layer,architecture,task,kind,source
1,665.6493,c2,AtlasNet,ksize_9,Untrained,PyTorch
2,25.545458,c2,AtlasNet,ksize_9,Untrained,PyTorch
3,19.712025,c2,AtlasNet,ksize_9,Untrained,PyTorch
4,11.892949,c2,AtlasNet,ksize_9,Untrained,PyTorch
5,7.9792314,c2,AtlasNet,ksize_9,Untrained,PyTorch
6,2.4825337,c2,AtlasNet,ksize_9,Untrained,PyTorch
7,1.904636,c2,AtlasNet,ksize_9,Untrained,PyTorch
8,1.8310214,c2,AtlasNet,ksize_9,Untrained,PyTorch
9,1.6816072,c2,AtlasNet,ksize_9,Untrained,PyTorch
10,1.4586457,c2,AtlasNet,ksize_9,Untrained,PyTorch
11,1.3506925,c2,AtlasNet,ksize_9,Untrained,PyTorch
12,1.110553,c2,AtlasNet,ksize_9,Untrained,PyTorch
13,1.0719687,c2,AtlasNet,ksize_9,Untrained,PyTorch
14,0.99079967,c2,AtlasNet,ksize_9,Untrained,PyTorch
15,0.8861845,c2,AtlasNet,ksize_9,Untrained,PyTorch
16,0.86429423,c2,AtlasNet,ksize_9,Untrained,PyTorch
17,0.8418587,c2,AtlasNet,ksize_9,Untrained,PyTorch
18,0.82286686,c2,AtlasNet,ksize_9,Untrained,PyTorch
19,0.7672591,c2,AtlasNet,ksize_9,Untrained,PyTorch
20,0.7569546,c2,AtlasNet,ksize_9,Untrained,PyTorch
21,0.7266359,c2,AtlasNet,ksize_9,Untrained,PyTorch
22,0.71709806,c2,AtlasNet,ksize_9,Untrained,PyTorch
23,0.6871012,c2,AtlasNet,ksize_9,Untrained,PyTorch
24,0.6759232,c2,AtlasNet,ksize_9,Untrained,PyTorch
25,0.6701664,c2,AtlasNet,ksize_9,Untrained,PyTorch
26,0.63422656,c2,AtlasNet,ksize_9,Untrained,PyTorch
27,0.6136407,c2,AtlasNet,ksize_9,Untrained,PyTorch
28,0.59119207,c2,AtlasNet,ksize_9,Untrained,PyTorch
29,0.57364196,c2,AtlasNet,ksize_9,Untrained,PyTorch
30,0.5661352,c2,AtlasNet,ksize_9,Untrained,PyTorch
31,0.54834926,c2,AtlasNet,ksize_9,Untrained,PyTorch
32,0.53330606,c2,AtlasNet,ksize_9,Untrained,PyTorch
33,0.51278514,c2,AtlasNet,ksize_9,Untrained,PyTorch
34,0.50368893,c2,AtlasNet,ksize_9,Untrained,PyTorch
35,0.4802134,c2,AtlasNet,ksize_9,Untrained,PyTorch
36,0.45868126,c2,AtlasNet,ksize_9,Untrained,PyTorch
37,0.44759607,c2,AtlasNet,ksize_9,Untrained,PyTorch
38,0.43971124,c2,AtlasNet,ksize_9,Untrained,PyTorch
39,0.43419573,c2,AtlasNet,ksize_9,Untrained,PyTorch
40,0.4211787,c2,AtlasNet,ksize_9,Untrained,PyTorch
41,0.41736883,c2,AtlasNet,ksize_9,Untrained,PyTorch
42,0.41536203,c2,AtlasNet,ksize_9,Untrained,PyTorch
43,0.3997346,c2,AtlasNet,ksize_9,Untrained,PyTorch
