n,variance,layer,architecture,task,kind,source
1,181454.1663947101,c2,AtlasNet,ksize_9,Untrained,PyTorch
2,39238.94199572882,c2,AtlasNet,ksize_9,Untrained,PyTorch
3,29905.16128590806,c2,AtlasNet,ksize_9,Untrained,PyTorch
4,19251.80875848122,c2,AtlasNet,ksize_9,Untrained,PyTorch
5,18388.638280622894,c2,AtlasNet,ksize_9,Untrained,PyTorch
6,16076.17065562828,c2,AtlasNet,ksize_9,Untrained,PyTorch
7,12559.476901468164,c2,AtlasNet,ksize_9,Untrained,PyTorch
8,11924.351791250065,c2,AtlasNet,ksize_9,Untrained,PyTorch
9,11174.422489328768,c2,AtlasNet,ksize_9,Untrained,PyTorch
10,10275.449912593445,c2,AtlasNet,ksize_9,Untrained,PyTorch
11,9786.290459585132,c2,AtlasNet,ksize_9,Untrained,PyTorch
12,8572.205916420717,c2,AtlasNet,ksize_9,Untrained,PyTorch
13,8263.893244127677,c2,AtlasNet,ksize_9,Untrained,PyTorch
14,7664.051000974784,c2,AtlasNet,ksize_9,Untrained,PyTorch
15,7265.765808312522,c2,AtlasNet,ksize_9,Untrained,PyTorch
16,7062.559499381313,c2,AtlasNet,ksize_9,Untrained,PyTorch
17,6665.7927577488545,c2,AtlasNet,ksize_9,Untrained,PyTorch
18,6522.38142365435,c2,AtlasNet,ksize_9,Untrained,PyTorch
19,6167.569454258089,c2,AtlasNet,ksize_9,Untrained,PyTorch
20,6035.795042160109,c2,AtlasNet,ksize_9,Untrained,PyTorch
21,5859.400377793747,c2,AtlasNet,ksize_9,Untrained,PyTorch
22,5770.5870018651385,c2,AtlasNet,ksize_9,Untrained,PyTorch
23,5666.798765417065,c2,AtlasNet,ksize_9,Untrained,PyTorch
24,5488.813351467337,c2,AtlasNet,ksize_9,Untrained,PyTorch
25,5374.122665210554,c2,AtlasNet,ksize_9,Untrained,PyTorch
26,5199.09112610917,c2,AtlasNet,ksize_9,Untrained,PyTorch
27,5130.329415675648,c2,AtlasNet,ksize_9,Untrained,PyTorch
28,5032.528935848654,c2,AtlasNet,ksize_9,Untrained,PyTorch
29,4924.116937414335,c2,AtlasNet,ksize_9,Untrained,PyTorch
30,4871.185041463104,c2,AtlasNet,ksize_9,Untrained,PyTorch
31,4730.41134862744,c2,AtlasNet,ksize_9,Untrained,PyTorch
32,4650.814047091314,c2,AtlasNet,ksize_9,Untrained,PyTorch
33,4580.347649920408,c2,AtlasNet,ksize_9,Untrained,PyTorch
34,4543.689020067128,c2,AtlasNet,ksize_9,Untrained,PyTorch
35,4424.235232442689,c2,AtlasNet,ksize_9,Untrained,PyTorch
36,4364.253976518244,c2,AtlasNet,ksize_9,Untrained,PyTorch
37,4335.14232543763,c2,AtlasNet,ksize_9,Untrained,PyTorch
38,4277.75667284272,c2,AtlasNet,ksize_9,Untrained,PyTorch
39,4200.484017131756,c2,AtlasNet,ksize_9,Untrained,PyTorch
40,4152.443711725453,c2,AtlasNet,ksize_9,Untrained,PyTorch
41,4093.934553730398,c2,AtlasNet,ksize_9,Untrained,PyTorch
