n,variance,layer,architecture,task,kind,source
1,260872.76441122268,c2,AtlasNet,nf_10000,Untrained,PyTorch
2,73932.38364130812,c2,AtlasNet,nf_10000,Untrained,PyTorch
3,62652.390712617096,c2,AtlasNet,nf_10000,Untrained,PyTorch
4,49789.08816705504,c2,AtlasNet,nf_10000,Untrained,PyTorch
5,47957.401662126125,c2,AtlasNet,nf_10000,Untrained,PyTorch
6,45881.02644834078,c2,AtlasNet,nf_10000,Untrained,PyTorch
7,33837.88062146615,c2,AtlasNet,nf_10000,Untrained,PyTorch
8,27244.152517499395,c2,AtlasNet,nf_10000,Untrained,PyTorch
9,25227.906998649378,c2,AtlasNet,nf_10000,Untrained,PyTorch
10,23188.370946299834,c2,AtlasNet,nf_10000,Untrained,PyTorch
11,21899.544810747986,c2,AtlasNet,nf_10000,Untrained,PyTorch
12,20097.54038837081,c2,AtlasNet,nf_10000,Untrained,PyTorch
13,19872.827045028953,c2,AtlasNet,nf_10000,Untrained,PyTorch
14,19061.707491393874,c2,AtlasNet,nf_10000,Untrained,PyTorch
15,18308.115250323903,c2,AtlasNet,nf_10000,Untrained,PyTorch
16,17195.963689157332,c2,AtlasNet,nf_10000,Untrained,PyTorch
17,16891.029882069313,c2,AtlasNet,nf_10000,Untrained,PyTorch
18,16411.760076872197,c2,AtlasNet,nf_10000,Untrained,PyTorch
19,15988.068088892955,c2,AtlasNet,nf_10000,Untrained,PyTorch
20,15810.337677978601,c2,AtlasNet,nf_10000,Untrained,PyTorch
21,15457.887649680379,c2,AtlasNet,nf_10000,Untrained,PyTorch
22,15226.027775994238,c2,AtlasNet,nf_10000,Untrained,PyTorch
23,15090.707949471427,c2,AtlasNet,nf_10000,Untrained,PyTorch
24,14981.479151798902,c2,AtlasNet,nf_10000,Untrained,PyTorch
25,14270.641863208208,c2,AtlasNet,nf_10000,Untrained,PyTorch
26,13974.470405503653,c2,AtlasNet,nf_10000,Untrained,PyTorch
27,13797.556225365806,c2,AtlasNet,nf_10000,Untrained,PyTorch
28,13389.646003556565,c2,AtlasNet,nf_10000,Untrained,PyTorch
29,13049.632895468998,c2,AtlasNet,nf_10000,Untrained,PyTorch
