layer,score,score_error,architecture,task,kind,source
c2,0.12254695578882528,0.005020742024321322,AtlasNet,Eig,a,pcs
c2,0.1188281953501786,0.005419594777400829,AtlasNet,Eig,a,pcs
c2,0.11555267899111399,0.0052538057881572,AtlasNet,Eig,a,pcs
c2,0.11186917710924002,0.005338985682554521,AtlasNet,Eig,a,pcs
c2,0.10598994095870234,0.0054699109986750625,AtlasNet,Eig,a,pcs
c2,0.10028592706031238,0.00598062887355559,AtlasNet,Eig,a,pcs
c2,0.0946794286661097,0.006009610428796417,AtlasNet,Eig,a,pcs
c2,0.08575907604876094,0.005910823041272044,AtlasNet,Eig,a,pcs
c2,0.07893299756579775,0.005594526270618804,AtlasNet,Eig,a,pcs
c2,0.062244461933814846,0.00525978128013279,AtlasNet,Eig,a,pcs
c2,0.05104710296897156,0.006105039355821738,AtlasNet,Eig,a,pcs
c2,0.04574781115244313,0.005952882054814228,AtlasNet,Eig,a,pcs
c2,0.04280409031220706,0.005789651578912054,AtlasNet,Eig,a,pcs
c2,0.042052073509144375,0.006036553948874207,AtlasNet,Eig,a,pcs
c2,0.04203016163760832,0.006098608942169118,AtlasNet,Eig,a,pcs
c2,0.04202612966749609,0.0062275481602028625,AtlasNet,Eig,a,pcs
c2,0.04206870543752729,0.006153599317335493,AtlasNet,Eig,a,pcs
c2,0.042007621494441164,0.006099116990668359,AtlasNet,Eig,a,pcs
c2,0.04205623483392007,0.006128694387992785,AtlasNet,Eig,a,pcs
