layer,score,score_error,architecture,task,kind,source
c2,0.18918719632752934,0.004622392728819688,AtlasNet,SVD.scaled_-0.1,Untrained,PyTorch
mp2,0.23485951021273271,0.004858929887166489,AtlasNet,SVD.scaled_-0.1,Untrained,PyTorch
c2,0.1879622606235321,0.0045021954853848726,AtlasNet,SVD.scaled_-0.2,Untrained,PyTorch
mp2,0.23456114436541195,0.004187631554841157,AtlasNet,SVD.scaled_-0.2,Untrained,PyTorch
c2,0.1894764806673595,0.00408471528252024,AtlasNet,SVD.scaled_-0.3,Untrained,PyTorch
mp2,0.23617775995237336,0.004670692626541486,AtlasNet,SVD.scaled_-0.3,Untrained,PyTorch
c2,0.187910071880757,0.004464436787035962,AtlasNet,SVD.scaled_-0.4,Untrained,PyTorch
mp2,0.23604664085737798,0.003913440593875085,AtlasNet,SVD.scaled_-0.4,Untrained,PyTorch
c2,0.19089268438769938,0.004611846411380617,AtlasNet,SVD.scaled_-0.5,Untrained,PyTorch
mp2,0.23537342812195364,0.0047776538221189525,AtlasNet,SVD.scaled_-0.5,Untrained,PyTorch
c2,0.18778261389687534,0.003784869862304616,AtlasNet,SVD.scaled_-0.6,Untrained,PyTorch
mp2,0.23322859922951095,0.0047449082790591655,AtlasNet,SVD.scaled_-0.6,Untrained,PyTorch
c2,0.18736534267416827,0.004956498143988595,AtlasNet,SVD.scaled_-0.7,Untrained,PyTorch
mp2,0.23493193296492348,0.004437232673394421,AtlasNet,SVD.scaled_-0.7,Untrained,PyTorch
c2,0.18698247317253733,0.0037256706313080683,AtlasNet,SVD.scaled_-0.8,Untrained,PyTorch
mp2,0.23414177220184842,0.004323488363722241,AtlasNet,SVD.scaled_-0.8,Untrained,PyTorch
c2,0.18586193999301143,0.004156237821970923,AtlasNet,SVD.scaled_-0.9,Untrained,PyTorch
mp2,0.23257306725667917,0.004199744407220856,AtlasNet,SVD.scaled_-0.9,Untrained,PyTorch
c2,0.18972168267172831,0.005469707652546066,AtlasNet,SVD.scaled_-1.0,Untrained,PyTorch
mp2,0.23176523810817454,0.0041996441815907865,AtlasNet,SVD.scaled_-1.0,Untrained,PyTorch
c2,0.17949731747303546,0.00420166861665284,AtlasNet,SVD.scaled_-1.1,Untrained,PyTorch
mp2,0.22896351124154038,0.004312486132093119,AtlasNet,SVD.scaled_-1.1,Untrained,PyTorch
c2,0.17597857923795276,0.004834191717501144,AtlasNet,SVD.scaled_-1.2,Untrained,PyTorch
mp2,0.21853243384318158,0.005129445370735131,AtlasNet,SVD.scaled_-1.2,Untrained,PyTorch
c2,0.17280214851707396,0.005450282303722005,AtlasNet,SVD.scaled_-1.3,Untrained,PyTorch
mp2,0.22048392907251246,0.005814446692661237,AtlasNet,SVD.scaled_-1.3,Untrained,PyTorch
c2,0.17268717037454118,0.004975271180495495,AtlasNet,SVD.scaled_-1.4,Untrained,PyTorch
mp2,0.21816299060630298,0.00460857277977683,AtlasNet,SVD.scaled_-1.4,Untrained,PyTorch
c2,0.1706828455826339,0.005680903956351311,AtlasNet,SVD.scaled_-1.5,Untrained,PyTorch
mp2,0.21591624288468958,0.004613106053652602,AtlasNet,SVD.scaled_-1.5,Untrained,PyTorch
c2,0.15962350233972528,0.0031563352859857695,AtlasNet,SVD.scaled_-2,Untrained,PyTorch
mp2,0.19971641644324847,0.00415009725986623,AtlasNet,SVD.scaled_-2,Untrained,PyTorch
c2,0.12611334453970277,0.005835606228904307,AtlasNet,SVD.scaled_-3,Untrained,PyTorch
mp2,0.15464233333341845,0.006809913958357735,AtlasNet,SVD.scaled_-3,Untrained,PyTorch
