layer,score,score_error,architecture,task,kind,source
c2,0.0073202962832476385,0.0001478319186965844,AtlasNet,Eig,a,pcs
c2,0.007576291072950629,0.00014315315883969783,AtlasNet,Eig,a,pcs
c2,0.007518957088645883,0.00013792836902332597,AtlasNet,Eig,a,pcs
c2,0.007657336078434543,0.00013881405859463757,AtlasNet,Eig,a,pcs
c2,0.007531605047789773,0.0001362616200014205,AtlasNet,Eig,a,pcs
c2,0.007347196016889565,0.0001403097555909431,AtlasNet,Eig,a,pcs
c2,0.0067676893928772484,0.0001412196811543049,AtlasNet,Eig,a,pcs
c2,0.006217955647726548,0.0001505790725262761,AtlasNet,Eig,a,pcs
c2,0.005711642895317666,0.00015514081108109154,AtlasNet,Eig,a,pcs
c2,0.004265805120102693,0.00016325250015025497,AtlasNet,Eig,a,pcs
c2,0.0035426454235592078,0.00016543286927041175,AtlasNet,Eig,a,pcs
c2,0.003137336452209071,0.0001712054053314376,AtlasNet,Eig,a,pcs
c2,0.002908233824220546,0.0001701246849932242,AtlasNet,Eig,a,pcs
c2,0.0027329033707746892,0.0001697156233232351,AtlasNet,Eig,a,pcs
c2,0.002722998572471044,0.000169331651375526,AtlasNet,Eig,a,pcs
c2,0.0026749446696563164,0.00016981663402328915,AtlasNet,Eig,a,pcs
c2,0.002665161107358008,0.00016970038603957968,AtlasNet,Eig,a,pcs
c2,0.0026659594592404238,0.00017089763345872063,AtlasNet,Eig,a,pcs
c2,0.0026580490177165405,0.00017020961489689246,AtlasNet,Eig,a,pcs
