layer,score,score_error,architecture,task,kind,source
c2,0.006014462874974565,0.0001868556989846035,AtlasNet,Eig,a,pcs
c2,0.00653840986346323,0.00018227525544276254,AtlasNet,Eig,a,pcs
c2,0.006645495417141569,0.00017965631253287029,AtlasNet,Eig,a,pcs
c2,0.00685038400551092,0.0001854607855305466,AtlasNet,Eig,a,pcs
c2,0.007339697918927609,0.0001784702464637528,AtlasNet,Eig,a,pcs
c2,0.007514895707060205,0.00017892745910409575,AtlasNet,Eig,a,pcs
c2,0.007511998323939333,0.00017777265087797053,AtlasNet,Eig,a,pcs
c2,0.00713586781481685,0.00019265642865072614,AtlasNet,Eig,a,pcs
c2,0.006701611362335713,0.00019099570659000123,AtlasNet,Eig,a,pcs
c2,0.005439353162416649,0.00019333450496290374,AtlasNet,Eig,a,pcs
c2,0.004755000676943932,0.00019030588529769086,AtlasNet,Eig,a,pcs
c2,0.004199055965291508,0.00019197347547305832,AtlasNet,Eig,a,pcs
c2,0.003976769832047466,0.00019531590653393675,AtlasNet,Eig,a,pcs
c2,0.003799247424737621,0.00019621144483272074,AtlasNet,Eig,a,pcs
c2,0.003823832250270232,0.0001939372251131917,AtlasNet,Eig,a,pcs
c2,0.0037542862368984283,0.00019230103553157746,AtlasNet,Eig,a,pcs
c2,0.003738167246513568,0.00019589202645596643,AtlasNet,Eig,a,pcs
c2,0.0037619785252847476,0.00019197813902194552,AtlasNet,Eig,a,pcs
c2,0.00372659964131256,0.00019031792029524953,AtlasNet,Eig,a,pcs
