specified_alpha,effective dimensionality,calculated_alpha
-0.2,647.0161438147404,0.7242422868954361
-0.3,621.747613988004,0.7773454359089965
-0.4,570.9212068963093,0.852635764378026
-0.5,482.33743306774824,0.9425439668096081
-0.6,357.85795102125286,1.0416986900302427
-0.7,228.20148651996647,1.1425073189160406
-0.8,129.50877030994238,1.1938073795132358
-0.9,70.20951484949167,1.2879284376403881
-1.0,38.7575054043917,1.3830870215896134
-1.2,14.243418751074508,1.6704354935574084
-1.4,7.0011035216249216,1.7743765263468787
-1.6,4.331520604185511,2.082178386703581
-1.8,3.11812731160065,2.254156213234647
-2.0,2.4689362847231164,2.3262934363963654
-2.2,2.078011594191402,2.4989420235990263
-2.4,1.8219792082426411,2.6816224805599096
-2.6,1.6438856765949081,2.8637510200876517
-2.8,1.5144262335022562,3.0721217380573087
-3.0,1.4171617297099386,3.376325255736502
