layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.402367886148354,5.0,1.4222250577823752,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.1500526560408186,4.0,1.4404144108016999,ResNet18,None,Untrained,PyTorch
layer2.0.relu,2.364477204980444,6.0,1.4388249010545942,ResNet18,None,Untrained,PyTorch
layer2.1.relu,1.975915461696471,3.0,1.3797806617229595,ResNet18,None,Untrained,PyTorch
layer3.0.relu,2.0457471057405523,5.0,1.4395530083321357,ResNet18,None,Untrained,PyTorch
layer3.1.relu,1.876876851480359,4.0,1.3768518404106338,ResNet18,None,Untrained,PyTorch
layer4.0.relu,1.9784592836255064,6.0,1.7933389142060854,ResNet18,None,Untrained,PyTorch
layer4.1.relu,1.7196072840799759,3.0,1.2535447136814035,ResNet18,None,Untrained,PyTorch
layer1.0.relu,2.4035458767237277,7.0,1.4020682588031426,ResNet50,None,Untrained,PyTorch
layer1.1.relu,1.9200988100459355,4.0,1.4902395099413048,ResNet50,None,Untrained,PyTorch
layer1.2.relu,1.657028301160461,2.0,1.4231813936861424,ResNet50,None,Untrained,PyTorch
layer2.0.relu,1.636564049770927,2.0,1.8708975479881385,ResNet50,None,Untrained,PyTorch
layer2.1.relu,1.6684690361807486,3.0,1.4393235858075193,ResNet50,None,Untrained,PyTorch
layer2.2.relu,1.5466163283059948,1.0,1.4805575685479464,ResNet50,None,Untrained,PyTorch
layer2.3.relu,1.4941507432080645,1.0,1.4631508463123968,ResNet50,None,Untrained,PyTorch
layer3.0.relu,1.5201438436523493,1.0,1.7680733673500204,ResNet50,None,Untrained,PyTorch
layer3.1.relu,1.4593992225845007,1.0,1.877030596960478,ResNet50,None,Untrained,PyTorch
layer3.2.relu,1.4153334477267778,1.0,1.755658172080143,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.3912609341856461,1.0,1.901721192777993,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.354886917071356,1.0,1.914718356382229,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.2947712440293213,1.0,2.003321049391133,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.3462075570854808,1.0,1.6936583318377054,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.3340635958647362,1.0,1.837202055507498,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.3294977130564516,1.0,1.905619134831526,ResNet50,None,Untrained,PyTorch
